agent,profile,W,Hg,delta_guard,num_steps,num_valid_steps,num_seeds,window_violation_rate,peak_violation_rate,rate_diff,agent_guard_pass_rate,std_guard_pass_rate,guard_false_negative_rate,window_violation_with_guard_rate
pianoMPC,balanced,5,3,0.0,1077,1057,5,0.14758751182592242,0.11258278145695365,0.03500473036896877,0.5458845789971618,0.8874172185430463,0.0293282876064333,0.10879848628192999
pianoMPC,balanced,10,3,0.0,1077,1032,5,0.26744186046511625,0.10949612403100775,0.1579457364341085,0.5474806201550387,0.8905038759689923,0.02810077519379845,0.21220930232558138
pianoMPC,balanced,20,3,0.0,1077,982,5,0.45213849287169044,0.109979633401222,0.3421588594704684,0.5529531568228105,0.890020366598778,0.028513238289205704,0.39307535641547864
pianoMPC,balanced,5,3,0.05,1058,1038,5,0.4441233140655106,0.10115606936416185,0.34296724470134876,0.7138728323699421,0.8988439306358381,0.02601156069364162,0.3670520231213873
pianoMPC,balanced,10,3,0.05,1058,1013,5,0.6495557749259625,0.10365251727541955,0.5459032576505429,0.7127344521224087,0.8963474827245804,0.02665350444225074,0.5597235932872655
pianoMPC,balanced,20,3,0.05,1058,963,5,0.8639667705088265,0.09865005192107996,0.7653167185877465,0.7123572170301142,0.90134994807892,0.024922118380062305,0.7736240913811008
pianoMPC,balanced,5,3,0.1,1063,1043,5,0.4333652924256951,0.003835091083413231,0.42953020134228187,0.7353787152444871,0.9961649089165868,0.0009587727708533077,0.42953020134228187
pianoMPC,balanced,10,3,0.1,1063,1018,5,0.6473477406679764,0.003929273084479371,0.6434184675834971,0.7347740667976425,0.9960707269155207,0.0009823182711198428,0.6434184675834971
pianoMPC,balanced,20,3,0.1,1063,968,5,0.8450413223140496,0.004132231404958678,0.8409090909090909,0.737603305785124,0.9958677685950413,0.0010330578512396695,0.8409090909090909
pianoMPC,balanced,5,5,0.0,1045,1025,5,0.17268292682926828,0.20097560975609757,-0.028292682926829293,0.08682926829268292,0.7990243902439025,0.010731707317073172,0.12292682926829268
pianoMPC,balanced,10,5,0.0,1045,1000,5,0.326,0.205,0.12100000000000002,0.087,0.795,0.011,0.241
pianoMPC,balanced,20,5,0.0,1045,950,5,0.5284210526315789,0.2094736842105263,0.3189473684210526,0.0863157894736842,0.7905263157894736,0.010526315789473684,0.3957894736842105
pianoMPC,balanced,5,5,0.05,1037,1017,5,0.45427728613569324,0.11307767944936087,0.34119960668633237,0.3274336283185841,0.8869223205506391,0.01671583087512291,0.38741396263520156
pianoMPC,balanced,10,5,0.05,1037,992,5,0.7600806451612904,0.1159274193548387,0.6441532258064516,0.32560483870967744,0.8840725806451613,0.017137096774193547,0.6723790322580645
pianoMPC,balanced,20,5,0.05,1037,942,5,0.964968152866242,0.11571125265392782,0.8492569002123143,0.32802547770700635,0.8842887473460722,0.018046709129511677,0.8503184713375797
pianoMPC,balanced,5,5,0.1,1045,1025,5,0.42048780487804877,0.0,0.42048780487804877,0.5063414634146342,1.0,0.0,0.42048780487804877
pianoMPC,balanced,10,5,0.1,1045,1000,5,0.676,0.0,0.676,0.506,1.0,0.0,0.676
