agent,profile,seed,W,Hg,delta_guard,step,is_valid_step,action_id,proposed_action_id,env_guard_pass,env_guard_replaced,env_guard_reason,reward,mastery_flag,f_t,window_max,predicted_peak,actual_peak,window_threshold,peak_threshold,agent_guard_pass,std_guard_pass,lambda_t,will_block,violation_window_flag,violation_peak_flag
pianoMPC,mild_left_weak,1821124482,10,7,0.1,0,False,18,18,True,False,relaxed,0.0,0,0.10400000000000001,0.10400000000000001,,0.212,0.22,0.32,False,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,1,False,18,18,True,False,safe,5.0,0,0.158,0.158,,0.212,0.22,0.32,False,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,2,False,18,18,True,False,relaxed,2.720274885808647,0,0.212,0.212,,0.212,0.22,0.32,False,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,3,False,24,24,True,False,safe,1.500806090408961,0,0.0,0.212,,0.216,0.22,0.32,True,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,4,False,18,18,True,False,safe,0.06721507452537367,0,0.054,0.212,,0.27,0.22,0.32,False,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,5,False,18,18,True,False,safe,0.21012056676249022,0,0.108,0.212,,0.27,0.22,0.32,False,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,6,False,24,24,True,False,safe,1.47747733640069,0,0.0,0.212,,0.27,0.22,0.32,True,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,7,False,18,18,True,False,safe,0.4868595552273709,0,0.054,0.212,,0.27,0.22,0.32,False,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,8,False,18,18,True,False,safe,1.0219643847618394,0,0.108,0.212,,0.27,0.22,0.32,False,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,9,True,18,18,True,False,relaxed,0.6327378177656893,0,0.162,0.212,,0.27,0.22,0.32,False,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,10,True,18,18,True,False,relaxed,1.2416618724168766,0,0.216,0.216,,0.27,0.22,0.32,False,True,,False,0,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,11,True,18,18,True,False,relaxed,2.17313878939906,0,0.27,0.27,,0.27,0.22,0.32,False,True,,False,1,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,12,True,24,24,True,False,safe,0.9462152833360471,0,0.020000000000000018,0.27,,0.212,0.22,0.32,True,True,,False,1,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,13,True,18,18,True,False,safe,1.4290211956210306,0,0.07400000000000001,0.27,,0.212,0.22,0.32,False,True,,False,1,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,14,True,18,18,True,False,safe,1.1525634355068217,0,0.128,0.27,,0.212,0.22,0.32,False,True,,False,1,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,15,True,18,18,True,False,relaxed,1.4882595299962655,1,0.182,0.27,,0.212,0.22,0.32,False,True,,False,1,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,16,True,18,18,True,False,safe,0.0,0,0.10400000000000001,0.27,,0.212,0.22,0.32,False,True,,False,1,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,17,True,18,18,True,False,safe,-5.0,0,0.158,0.27,,0.212,0.22,0.32,False,True,,False,1,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,18,True,18,18,True,False,safe,-0.9112944020963099,0,0.212,0.27,,0.212,0.22,0.32,False,True,,False,1,0
pianoMPC,mild_left_weak,1821124482,10,7,0.1,19,True,24,24,True,False,safe,1.5661177943017526,0,0.0,0.27,,0.162,0.22,0.32,True,True,,False,1,0
