scenario,agent,profile,num_runs,guard_enabled,guard_delta,safety_margin,action_changed_rate_mean,action_changed_rate_std,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,executed_step_cap_violation_rate_mean,executed_step_cap_violation_rate_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,guard_replacement_rate_mean,guard_replacement_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,mastery_rate,proposed_relaxed_violation_rate_mean,proposed_relaxed_violation_rate_std,proposed_step_cap_violation_rate_mean,proposed_step_cap_violation_rate_std,regret_mean,regret_std,relaxed_execution_rate_mean,relaxed_execution_rate_std,rest_fallback_rate_mean,rest_fallback_rate_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
shared_guard,LinUCB,balanced,10,True,0.08,0.05,0.0,0.0,29.479007626198914,4.919528605300332,0.0007206513049100865,0.0007487115433062402,7.702973336898249,0.8995451586326169,0.5601023354790267,0.014274479091074582,0.5262652036176021,0.03407044830408163,-1.2755955406198365,0.106817887113779,0.0,0.0,0.0281721988919867,0.028792297388215017,0.9718278011080133,0.028792297388215014,0.0,0.0,28.704442829588622,4.779149824916656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-41.98501157558244,15.235745915800452,0.0,0.0,0.0,0.0,0.6351217489131628,0.09541887044867028,46.1,10.690650120549265,0.6865190860820823,0.05709545582978232,46.1,10.690650120549265,46.1,10.690650120549265,41.98501157558244,-57.8637117493344,9.76949848841914,15.235745915800452
shared_guard,LinUCB,mild_left_weak,10,True,0.08,0.05,0.0,0.0,29.5980692074542,3.821511308688328,0.0005516396163570347,0.0005495620040659292,8.631465397571755,1.2877370832064945,0.5086088789067748,0.008529253620203188,0.5158208509311726,0.02791836320349741,-1.3206538492126751,0.07972977450031976,0.0,0.0,0.02993051952267347,0.020940732703138454,0.9700694804773267,0.020940732703138447,0.0,0.0,28.349306692286184,2.9297670421434336,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-49.274459419019145,7.919832906419305,0.0,0.0,0.0,0.0,0.7154982053786513,0.08000533091771596,49.8,8.942035562443264,0.7362768951639003,0.0482403405762846,49.8,8.942035562443264,49.8,8.942035562443264,49.274459419019145,-65.1821886367392,8.68580257241788,7.919832906419305
shared_guard,LinUCB,severe_left_weak,10,True,0.08,0.05,0.0,0.0,30.53669010781643,4.863579927717491,0.0005879016734899067,0.0005894249400468973,9.108700389112132,1.1397158213651541,0.4616944438567968,0.010287176570526335,0.5038745996452334,0.04133212667088179,-1.3630446539839316,0.12810324805647066,0.0,0.0,0.03351450836744954,0.020454064712736184,0.9664854916325505,0.02045406471273619,0.0,0.0,28.043426073835708,3.213325788863063,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-43.16022312770857,14.842525699532874,0.0,0.0,0.0,0.0,0.7305913198573883,0.10265678414832745,48.9,14.01035331460274,0.7273114668834862,0.06172515940770132,48.9,14.01035331460274,48.9,14.01035331460274,43.16022312770857,-64.90326440358558,11.274512588519123,14.842525699532874
shared_guard,Thompson,balanced,10,True,0.08,0.05,0.2222144686299247,0.027225427646119814,28.81060490247731,4.324483967381547,0.004894442457498198,0.0030897587154093535,7.653483520745264,1.1357973901032015,0.5344282063006578,0.03700013813183447,0.5352158396830609,0.029157465879635764,-1.2475552717971283,0.10903063248452231,0.15449534141609128,0.05201611221770538,0.09655769705479424,0.04571972717729658,0.9034423029452057,0.04571972717729658,0.2222144686299247,0.027225427646119814,28.203015523160637,4.883690000578138,1.0,0.0,1.0,0.12340751134303954,0.03553294635637892,0.376709810046016,0.05951393211293893,-33.51367705025705,7.619156195456605,0.15449534141609128,0.05201611221770538,0.2222144686299247,0.027225427646119814,0.5866782250602383,0.11613592172539847,39.9,10.93114815561476,0.662055395382324,0.07675378409694919,39.9,10.93114815561476,39.9,10.93114815561476,33.51367705025705,-48.78090014049181,9.836872935916228,7.619156195456605
shared_guard,Thompson,mild_left_weak,10,True,0.08,0.05,0.24491538112306924,0.01634979543826546,26.394500535795373,4.103225913626147,0.0038167351239131613,0.0017144595579187078,8.516994870458836,0.7715109257193636,0.48884797096517973,0.03133955419863291,0.5570163772735605,0.02582525908217602,-1.2127919352635927,0.08897572372802243,0.13652875301313933,0.04336994774038016,0.09424559855740584,0.030800886304135973,0.9057544014425943,0.03080088630413599,0.24491538112306924,0.01634979543826546,29.081826818459,3.5782007939544895,1.0,0.0,1.0,0.12189269224209372,0.034027515829310934,0.3814441341362086,0.04756564845220756,-43.14554888309715,7.905669385457668,0.13652875301313933,0.04336994774038016,0.24491538112306924,0.01634979543826546,0.7199672487890943,0.07321199492373455,48.7,9.327915093953203,0.7451962685156696,0.04829919538428985,48.7,9.327915093953203,48.7,9.327915093953203,43.14554888309715,-58.377045270607105,7.532271939305662,7.905669385457668
shared_guard,Thompson,severe_left_weak,10,True,0.08,0.05,0.24274452551340492,0.017137557394338324,30.33353782113886,4.5919508725908,0.0031340829962039616,0.0016792395196140828,8.720037130263375,1.037002535326421,0.44277913682848674,0.03415226039846275,0.512893614296242,0.02405050529268454,-1.3314083727309522,0.08823342954189141,0.11358762590178909,0.043598967423116426,0.0743895368712006,0.04014852198059173,0.9256104631287995,0.040148521980591746,0.24274452551340492,0.017137557394338324,26.689373525890296,3.4189698157686808,1.0,0.0,1.0,0.11192997387747979,0.038614978876492026,0.356332151415194,0.05010584142210287,-36.75003162105513,9.998285168284227,0.11358762590178909,0.043598967423116426,0.24274452551340492,0.017137557394338324,0.6914256805971981,0.11690252357913315,41.9,9.994498486667553,0.7254477280982166,0.07260104166047973,41.9,9.994498486667553,41.9,9.994498486667553,36.75003162105513,-55.17364353341369,10.716527264695822,9.998285168284227
shared_guard,PianoMPC,balanced,10,True,0.08,0.05,0.0,0.0,39.817053602987734,2.0792717127034512,0.0011510332668421116,0.0012212653329102853,7.72393637729896,1.2224654613852175,0.5026651874441039,0.02478493690303597,0.6182569745081131,0.018541531461702333,-1.2395825548404829,0.04598896495130378,0.13181461813974601,0.08501492413288694,0.05724960987908558,0.032554010611155315,0.9427503901209144,0.03255401061115533,0.0,0.0,19.994328972256874,2.932789878962519,1.0,0.0,1.0,0.0,0.0,0.13181461813974601,0.08501492413288694,-20.288298703474492,7.511547663642223,0.13181461813974601,0.08501492413288694,0.0,0.0,0.38088634483800765,0.051592614280155796,24.3,4.026164427839479,0.4798235759149424,0.03378991804126844,24.3,4.026164427839479,24.3,4.026164427839479,20.288298703474492,-30.103278604295742,5.057180674621364,7.511547663642223
shared_guard,PianoMPC,mild_left_weak,10,True,0.08,0.05,0.0,0.0,40.73854871292981,2.6126185127949215,0.001585049245412161,0.001453477703236518,8.031092408020106,1.0267031839226384,0.49207931097169216,0.014737615495056646,0.6021876048503109,0.023808667151960776,-1.2866224168741391,0.05459962940466961,0.13703918772321155,0.0650490973147784,0.06125306336378848,0.02273355706671419,0.9387469366362116,0.022733557066714163,0.0,0.0,19.1436617790907,2.900692744542856,1.0,0.0,1.0,0.0,0.0,0.13703918772321155,0.0650490973147784,-20.301815640011824,6.406987566006839,0.13703918772321155,0.0650490973147784,0.0,0.0,0.4158161368242525,0.07066542979858466,25.3,6.165225056719341,0.4923018779060099,0.030269031476936843,25.3,6.165225056719341,25.3,6.165225056719341,20.301815640011824,-32.320032469517926,6.611311075148357,6.406987566006839
shared_guard,PianoMPC,severe_left_weak,10,True,0.08,0.05,0.0,0.0,40.50542036011742,2.4157373721486795,0.003872443223443251,0.0020598407462645873,8.167199281464095,1.1272770569074186,0.48462900366300393,0.008385162325552116,0.5845436794585352,0.023560288755368603,-1.3200182170940062,0.05012744535553504,0.20018498168498167,0.0696393871571811,0.11714835164835165,0.028298639110141896,0.8828516483516484,0.028298639110141903,0.0,0.0,22.82588946183996,2.7552307310314506,1.0,0.0,1.0,0.0,0.0,0.20018498168498167,0.0696393871571811,-27.859692670376326,6.955274671160018,0.20018498168498167,0.0696393871571811,0.0,0.0,0.4968944115814621,0.05261741496094282,27.4,3.9293765408777004,0.5483909792315897,0.02414473620787981,27.4,3.9293765408777004,27.4,3.9293765408777004,27.859692670376326,-36.03956957563408,4.207023111012986,6.955274671160018
shared_guard,DQN,balanced,10,True,0.08,0.05,0.1895607144418689,0.04128356356920666,26.991949354352634,5.491175298454343,0.003243996165660002,0.0023802382783977677,7.734908548026158,1.2595498298954544,0.5215043838611367,0.03612891343273581,0.5571444162116739,0.02843071828862215,-1.189133459550133,0.09459127209647458,0.1157257888921726,0.05413062475875375,0.08045090598571074,0.0504204278935994,0.9195490940142893,0.0504204278935994,0.1895607144418689,0.04128356356920666,29.52642288298104,3.197901978625302,1.0,0.0,1.0,0.09876897870955596,0.05134878860015677,0.30528650333404156,0.07254183450129169,-40.53730968417568,15.718433997757506,0.1157257888921726,0.05413062475875375,0.1895607144418689,0.04128356356920666,0.5663093542745333,0.13698896274750755,42.6,24.24953607803663,0.661466469562223,0.07827734505909563,42.6,24.24953607803663,42.6,24.24953607803663,40.53730968417568,-48.96906786962728,23.021783566537568,15.718433997757506
