scenario,agent,profile,num_runs,guard_delta,safety_margin,action_changed_rate_mean,action_changed_rate_std,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,executed_step_cap_violation_rate_mean,executed_step_cap_violation_rate_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,guard_replacement_rate_mean,guard_replacement_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,mastery_rate,proposed_relaxed_violation_rate_mean,proposed_relaxed_violation_rate_std,proposed_step_cap_violation_rate_mean,proposed_step_cap_violation_rate_std,regret_mean,regret_std,relaxed_execution_rate_mean,relaxed_execution_rate_std,rest_fallback_rate_mean,rest_fallback_rate_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
margin_0p00,LinUCB,balanced,10,0.08,0.0,0.0,0.0,27.95589259744229,4.949901868967112,0.0008311154945993276,0.0005152733260751708,7.319461963030506,0.9911150938955049,0.5608829327486224,0.013460325716122675,0.54502479192526,0.02913192151522197,-1.2187579563180502,0.09828235826531381,0.0,0.0,0.04721746237733249,0.022022344738159436,0.9527825376226675,0.022022344738159418,0.0,0.0,30.843562311085343,3.5817951941855397,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-42.51179923046208,9.488940052640404,0.0,0.0,0.0,0.0,0.6636097020927935,0.08197050402493114,49.9,13.52368293032634,0.6990462555557281,0.04879825213280026,49.9,13.52368293032634,49.9,13.52368293032634,42.51179923046208,-59.6480043042162,11.611274947264514,9.488940052640404
margin_0p00,LinUCB,mild_left_weak,10,0.08,0.0,0.0,0.0,30.35433376263365,4.847605586471187,0.0007489905254091289,0.0006773644132057311,8.513120009255829,1.0430760425443522,0.5067584174791616,0.015211571465637395,0.5158761689950632,0.03358614308125143,-1.3259465153043641,0.10431184728894424,0.0,0.0,0.032922632062166945,0.01962251804269709,0.9670773679378332,0.019622518042697094,0.0,0.0,28.25258276108109,4.93671344740821,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-46.65122456294646,12.189914685577472,0.0,0.0,0.0,0.0,0.7004549568812923,0.09688584575381542,47.4,9.189124006128115,0.7128379580199079,0.06609807900509101,47.4,9.189124006128115,47.4,9.189124006128115,46.65122456294646,-62.00564418564154,8.021429998283436,12.189914685577472
margin_0p00,LinUCB,severe_left_weak,10,0.08,0.0,0.0,0.0,32.052661060704544,5.7565419473849415,0.0006748137118692701,0.0006352378997764639,9.67919413220157,1.203223925588243,0.46233789849585144,0.018451793621142992,0.5080297866092367,0.03430077512209794,-1.3911427095894229,0.11963804973113333,0.0,0.0,0.0400023844172458,0.02363076271785679,0.9599976155827543,0.02363076271785679,0.0,0.0,30.730236613860864,3.1885631450758867,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-42.38758878897842,14.77648443831063,0.0,0.0,0.0,0.0,0.7380651281793283,0.11977816127025773,47.7,10.59292216529509,0.7421313502811143,0.07564125122426102,47.7,10.59292216529509,47.7,10.59292216529509,42.38758878897842,-65.23432826137208,10.72587487625898,14.77648443831063
margin_0p00,Thompson,balanced,10,0.08,0.0,0.2320921523103833,0.01375727601035729,28.704028498567048,3.6499328915062113,0.00408108346651789,0.0020558914433173978,7.534333071376804,1.2426339200412546,0.5653005423699814,0.01623283875507596,0.5540210214997393,0.01883914740497784,-1.2148167675692387,0.06466869903196143,0.06519816939353552,0.03437286277366544,0.09791226393538713,0.024297407723187402,0.9020877360646129,0.024297407723187402,0.2320921523103833,0.01375727601035729,28.453701800378987,4.133348927321326,1.0,0.0,1.0,0.14431005626407745,0.0246598039398529,0.29729032170391884,0.04081757157498294,-34.725725511827775,13.29529302713932,0.06519816939353552,0.03437286277366544,0.2320921523103833,0.01375727601035729,0.6129522501944447,0.09708994214957081,41.3,9.57131129992124,0.6812288612066424,0.06932875437197503,41.3,9.57131129992124,41.3,9.57131129992124,34.725725511827775,-49.716426468234744,9.844910977691455,13.29529302713932
margin_0p00,Thompson,mild_left_weak,10,0.08,0.0,0.2472820234064661,0.014187685276983315,27.34871833752417,6.774107309798008,0.003993582446847169,0.002566733719765777,8.714559617370188,1.4960355562176184,0.5153228877161913,0.019258284863581387,0.5457269154232924,0.03599812417368982,-1.2464777311464594,0.14372128229686457,0.06659374006115161,0.048777282593739216,0.08335176512667644,0.0355625351454365,0.9166482348733235,0.0355625351454365,0.2472820234064661,0.014187685276983315,27.946228815839373,5.805878669286855,1.0,0.0,1.0,0.14859476679555456,0.023960978835355036,0.3138757634676177,0.04137222355357631,-44.771367030277204,14.755492099492297,0.06659374006115161,0.048777282593739216,0.2472820234064661,0.014187685276983315,0.684147915127002,0.12607870173588234,49.0,17.67484087622856,0.711837815086296,0.08618942209032901,49.0,17.67484087622856,49.0,17.67484087622856,44.771367030277204,-58.89485285530035,14.79028929852866,14.755492099492297
margin_0p00,Thompson,severe_left_weak,10,0.08,0.0,0.24248491184931847,0.015196686463103263,31.149127770168985,5.216336828257278,0.003208444911106503,0.002226851834653559,8.634579501236335,0.9859561933664954,0.4622494746244734,0.02828977566222717,0.5100317917301191,0.03304144482755231,-1.3448717659228218,0.12324509142112852,0.05732254987005612,0.02968343650708426,0.09011532235420897,0.0590609927118346,0.909884677645791,0.059060992711834605,0.24248491184931847,0.015196686463103263,28.366406962269878,3.5537104856891077,1.0,0.0,1.0,0.1510123327045627,0.027162812640471354,0.29980746171937456,0.038799097168480776,-33.986041780828735,9.031423249334313,0.05732254987005612,0.02968343650708426,0.24248491184931847,0.015196686463103263,0.6938122575792071,0.1069836347618293,41.9,8.84816365128946,0.7184878222091017,0.07137814704706774,41.9,8.84816365128946,41.9,8.84816365128946,33.986041780828735,-55.34862657277465,7.630496526758434,9.031423249334313
margin_0p00,PianoMPC,balanced,10,0.08,0.0,0.0,0.0,38.690815298030756,1.7984611958361978,0.002319540113230072,0.0013659914573736945,7.478101721173914,1.5390899116039445,0.5071469560707144,0.02663313290944284,0.6330262345517654,0.022046834718945644,-1.195824785035585,0.05159667214866247,0.05821724040186403,0.03700318531472546,0.09227897169897532,0.04331782514278753,0.9077210283010247,0.04331782514278753,0.0,0.0,21.454942534550753,3.1575581315565953,1.0,0.0,1.0,0.0,0.0,0.05821724040186403,0.03700318531472546,-22.015233716697377,11.232621019579032,0.05821724040186403,0.03700318531472546,0.0,0.0,0.3829764030162305,0.06640117571753362,24.6,4.673328578219168,0.48465279243028936,0.03912767150388907,24.6,4.673328578219168,24.6,4.673328578219168,22.015233716697377,-29.25882806917423,4.795795640541226,11.232621019579032
margin_0p00,PianoMPC,mild_left_weak,10,0.08,0.0,0.0,0.0,39.329835507937226,2.036120773635771,0.0028345815474848162,0.0018342117587273033,9.209170038100929,1.358769883275689,0.5102622159799581,0.012256741680923281,0.6139715528384996,0.022565955743790653,-1.2867449476103887,0.07489710305247907,0.09050525340847922,0.042788705505666824,0.09922610245190891,0.048896885008217206,0.900773897548091,0.04889688500821723,0.0,0.0,22.413398438510132,3.3696340520336023,1.0,0.0,1.0,0.0,0.0,0.09050525340847922,0.042788705505666824,-28.6956925519614,8.597674174904,0.09050525340847922,0.042788705505666824,0.0,0.0,0.4560889945718217,0.04296162002137612,26.9,4.011234224026316,0.5163067166454852,0.021061100942842057,26.9,4.011234224026316,26.9,4.011234224026316,28.6956925519614,-34.38963576512061,3.6499235853010963,8.597674174904
margin_0p00,PianoMPC,severe_left_weak,10,0.08,0.0,0.0,0.0,40.35350794862939,2.7296486704389396,0.002629306914501123,0.001440356492309705,8.756278047619405,1.0562131213727,0.4718618648212044,0.01537326266942362,0.581322026115331,0.022849320134676422,-1.3368161622903572,0.044867809160680734,0.11420420414431302,0.06010799448117518,0.08153503121198222,0.03396830522797149,0.9184649687880178,0.03396830522797149,0.0,0.0,23.408068045929795,4.642364575196068,1.0,0.0,1.0,0.0,0.0,0.11420420414431302,0.06010799448117518,-26.352146416512255,5.888655829901891,0.11420420414431302,0.06010799448117518,0.0,0.0,0.48186736658837165,0.0716603718424915,26.4,5.083306010855534,0.5356568757480333,0.03521610936449271,26.4,5.083306010855534,26.4,5.083306010855534,26.352146416512255,-35.12468249818606,5.81034516715561,5.888655829901891
margin_0p00,DQN,balanced,10,0.08,0.0,0.1970112183666692,0.07324540907677354,27.200388299690662,6.925928673515287,0.0045570338874333476,0.0030423736224031313,7.643999790983324,0.9508581418881902,0.5372297052925524,0.05686210997362176,0.5493899447048992,0.03945073170294231,-1.2057214283760194,0.13807366040307648,0.06340161766456831,0.05587652965823203,0.09749307242829197,0.059728748011320665,0.9025069275717079,0.05972874801132066,0.1970112183666692,0.07324540907677354,27.721636589673608,2.5079046081404,1.0,0.0,1.0,0.12206286165926483,0.05702057818412941,0.26041283603123755,0.10058624883940198,-36.366471687203,15.317556138138134,0.06340161766456831,0.05587652965823203,0.1970112183666692,0.07324540907677354,0.6099328144957419,0.11622578233955981,42.5,11.603878661895772,0.6721654901973494,0.08348950477222064,42.5,11.603878661895772,42.5,11.603878661895772,36.366471687203,-50.36650952544339,11.500402891574879,15.317556138138134
