agent,profile,seed,W,Hg,delta_guard,step,is_valid_step,action_id,proposed_action_id,env_guard_pass,env_guard_replaced,env_guard_reason,reward,mastery_flag,f_t,window_max,predicted_peak,actual_peak,window_threshold,peak_threshold,agent_guard_pass,std_guard_pass,lambda_t,will_block,violation_window_flag,violation_peak_flag
pianoMPC,balanced,1508326896,10,7,0.0,0,False,18,18,True,False,safe,0.0,0,0.054,0.054,,0.216,0.25,0.25,False,True,,False,0,0
pianoMPC,balanced,1508326896,10,7,0.0,1,False,18,18,True,False,safe,5.0,0,0.108,0.108,,0.27,0.25,0.25,False,False,,False,0,1
pianoMPC,balanced,1508326896,10,7,0.0,2,False,18,18,True,False,safe,1.6350418106721305,0,0.162,0.162,,0.27,0.25,0.25,False,False,,False,0,1
pianoMPC,balanced,1508326896,10,7,0.0,3,False,24,18,False,True,rest_fallback,2.22870483027337,0,0.0,0.162,,0.27,0.25,0.25,False,False,,False,0,1
pianoMPC,balanced,1508326896,10,7,0.0,4,False,18,18,True,False,safe,-3.6612241328863804,0,0.054,0.162,,0.27,0.25,0.25,False,False,,False,0,1
pianoMPC,balanced,1508326896,10,7,0.0,5,False,18,18,True,False,relaxed,1.051095833140736,0,0.108,0.162,,0.27,0.25,0.25,False,False,,False,0,1
pianoMPC,balanced,1508326896,10,7,0.0,6,False,18,18,True,False,safe,0.2519487505769319,0,0.162,0.162,,0.27,0.25,0.25,False,False,,False,0,1
pianoMPC,balanced,1508326896,10,7,0.0,7,False,18,18,True,False,relaxed,1.5146171335451912,0,0.216,0.216,,0.27,0.25,0.25,False,False,,False,0,1
pianoMPC,balanced,1508326896,10,7,0.0,8,False,18,18,True,False,relaxed,-2.555001600516564,0,0.27,0.27,,0.27,0.25,0.25,False,False,,False,1,1
pianoMPC,balanced,1508326896,10,7,0.0,9,True,24,24,True,False,safe,-1.1005679865694202,0,0.020000000000000018,0.27,,0.182,0.25,0.25,True,True,,False,1,0
pianoMPC,balanced,1508326896,10,7,0.0,10,True,18,18,True,False,safe,1.9130166037502019,0,0.07400000000000001,0.27,,0.216,0.25,0.25,False,True,,False,1,0
pianoMPC,balanced,1508326896,10,7,0.0,11,True,18,18,True,False,safe,0.5746516418092376,0,0.128,0.27,,0.27,0.25,0.25,False,False,,False,1,1
