agent,task_name,category,transfer_strength,enforce_constraint,enable_nonstationary,num_runs,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,regret_mean,regret_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
BayesianMAB,basic-pbalanced-mstrong,basic,strong,False,False,10,28.0835040870275,5.179747082921739,0.0,0.0,7.207874670658358,0.7997170361438061,0.4537683631789392,0.08272114588785696,0.6007762262489333,0.04971762823307296,-1.0963411188532686,0.11693727708435747,0.0,0.0,1.0,0.0,27.535022400513377,4.119870176533528,1.0,0.0,-21.33438624014296,7.826763696139701,0.5183920798095023,0.12788228188217918,23.1,7.38173421358423,0.6511476625528282,0.083582431283032,23.1,7.38173421358423,23.1,7.38173421358423,21.33438624014296,-25.11979008070663,7.50048075648557,7.826763696139701
Thompson,basic-pbalanced-mstrong,basic,strong,False,False,10,25.847357052909093,3.6339153883905113,0.0,0.0,8.213081432198589,1.1188090616599855,0.5256428389388799,0.02096777087490483,0.5924514288090797,0.025305361420873338,-1.1247876507032672,0.07313753739532203,0.0,0.0,1.0,0.0,28.896974816409585,3.09433804636844,1.0,0.0,-28.384201348156797,8.220156506408165,0.6345487262968468,0.09644619358298938,30.5,8.139410298049853,0.7085007612484259,0.05319216903196514,30.5,8.139410298049853,30.5,8.139410298049853,28.384201348156797,-33.86157076256179,7.494544598325822,8.220156506408165
PianoMPC,shift-pmild_left_weak-mweak,shift,weak,False,True,10,38.62367547321533,1.912519989369152,0.0,0.0,7.906571441691854,0.5867247400732224,0.5361533211945797,0.014931974224221878,0.5694644250969373,0.020861623980373226,-1.3273274958268046,0.04733065303247676,0.0,0.0,1.0,0.0,22.85182005155068,2.829747627989252,1.0,0.0,-38.420080748100126,8.952939443359982,0.4755380783049813,0.037991914108907475,46.6,5.44426303552648,0.5007940314684247,0.03654727342066244,46.6,5.44426303552648,46.6,5.44426303552648,38.420080748100126,-61.87462569592195,7.683675363364517,8.952939443359982
CCB-DF,shift-pmild_left_weak-mweak,shift,weak,False,True,10,32.45175458766218,3.0456726334445388,0.0,0.0,8.86840499617023,0.43894891573005745,0.4882033976618786,0.020010329480980683,0.46742555616202497,0.02563675931248231,-1.444307475170562,0.0700127537167324,0.0,0.0,1.0,0.0,26.585581605777456,2.6669809762387184,1.0,0.0,-61.8439532592266,15.292285035316363,0.6511943474243289,0.07332460325685113,77.5,10.249390225764653,0.6693083448602031,0.06448608132433196,77.5,10.249390225764653,77.5,10.249390225764653,61.8439532592266,-111.39579869711588,10.80293371554494,15.292285035316363
BayesianMAB,shift-pmild_left_weak-mweak,shift,weak,False,True,10,31.7520488725292,1.8459832575565336,0.0,0.0,8.269738654517154,0.7253347279315431,0.4425188839025568,0.08884885001965653,0.5042626586273442,0.028470510400859333,-1.3545105534341615,0.06524623749135844,0.0,0.0,1.0,0.0,25.21696989605305,4.609449270127468,1.0,0.0,-40.79736600843789,8.19271452923097,0.5465366051896313,0.06693355147016487,54.0,7.211102550927978,0.5861745428363876,0.07367063008855841,54.0,7.211102550927978,54.0,7.211102550927978,40.79736600843789,-73.11459687217575,10.306814253822475,8.19271452923097
Thompson,shift-pmild_left_weak-mweak,shift,weak,False,True,10,28.121039101128712,3.12637174537651,0.0,0.0,8.556854467498557,0.7196335546153483,0.5110919024405011,0.021187634491979628,0.5109193749217192,0.03130310459182963,-1.3137733926038653,0.08361345017796372,0.0,0.0,1.0,0.0,27.428650112648832,4.362573810603269,1.0,0.0,-60.41721926398136,16.847711058841863,0.6974954737156878,0.09142107622455611,76.3,12.884486796143648,0.7094815860574835,0.0730335937482855,76.3,12.884486796143648,76.3,12.884486796143648,60.41721926398136,-99.27118763425706,12.150748551570668,16.847711058841863
PianoMPC,shift-pmild_left_weak-mmedium,shift,medium,False,True,10,38.92903868610311,3.0446212300594184,0.0,0.0,8.63887785873181,1.4732811473125464,0.4997969246989572,0.023084141594311866,0.6117172058269826,0.028126716555018215,-1.2713489502976023,0.06885967940627757,0.0,0.0,1.0,0.0,20.798977161734918,2.6110078759669038,1.0,0.0,-22.17217422514711,11.325634761709864,0.46594016163874963,0.07087258459123794,30.3,9.402659198333204,0.5173292389007366,0.026146433197433344,30.3,9.402659198333204,30.3,9.402659198333204,22.17217422514711,-37.99676275112018,9.705647947925748,11.325634761709864
CCB-DF,shift-pmild_left_weak-mmedium,shift,medium,False,True,10,31.1888558639777,3.9394919704477593,0.0,0.0,8.84537231132399,1.1875741025701243,0.48361351888781756,0.03179187407285265,0.49445637840779033,0.03552953449555986,-1.3780056140733474,0.09037431436905857,0.0,0.0,1.0,0.0,27.892784743296726,3.6357474676493697,1.0,0.0,-42.32543505624055,8.521492174240132,0.6596535299634927,0.10383458623804885,45.0,7.861297602813418,0.6986193706338936,0.07751254847262445,45.0,7.861297602813418,45.0,7.861297602813418,42.32543505624055,-61.34633907283062,7.344020930037216,8.521492174240132
BayesianMAB,shift-pmild_left_weak-mmedium,shift,medium,False,True,10,29.315544651914603,5.70701130090802,0.0,0.0,8.178479712863714,0.7169027729287193,0.4638576346638283,0.06029411218256902,0.5634950518765367,0.04583247539583543,-1.216143248444943,0.13486615940108335,0.0,0.0,1.0,0.0,28.24596762326197,4.869669986511841,1.0,0.0,-30.701330054399676,9.542372087088895,0.5928185286009348,0.12438767809053522,34.4,10.219589032832973,0.6724657460810423,0.07784063389002721,34.4,10.219589032832973,34.4,10.219589032832973,30.701330054399676,-41.19219118536226,10.552776858963023,9.542372087088895
Thompson,shift-pmild_left_weak-mmedium,shift,medium,False,True,10,28.252515651564863,2.698333340671518,0.0,0.0,8.701141846748616,1.4863967404171252,0.49268255149547785,0.02193634508309047,0.5443894345431066,0.02705579141986296,-1.2563655700557037,0.07964072547939384,0.0,0.0,1.0,0.0,28.30246571013307,4.299974602669343,1.0,0.0,-40.002120628722935,10.013667339112775,0.6726840226085126,0.06050587079939928,42.7,6.050619802962338,0.7116534902614287,0.042820721647105674,42.7,6.050619802962338,42.7,6.050619802962338,40.002120628722935,-53.29187771205248,5.415605124738364,10.013667339112775
PianoMPC,shift-pmild_left_weak-mstrong,shift,strong,False,True,10,41.88171186732049,4.198643535619064,0.0,0.0,8.263242952557858,1.4183769730214921,0.45100724481658705,0.02650856128640863,0.6387319540001218,0.026102643361139977,-1.2256964577931782,0.0870895787672781,0.0,0.0,1.0,0.0,21.521348753358055,3.3727659458446704,1.0,0.0,-17.004065138703172,6.276086138078273,0.37547785232613584,0.06922707744653127,16.5,3.442382895611701,0.48867684866142447,0.027300301652531108,16.5,3.442382895611701,16.5,3.442382895611701,17.004065138703172,-20.030557966697913,3.44254006317225,6.276086138078273
CCB-DF,shift-pmild_left_weak-mstrong,shift,strong,False,True,10,28.99447743954794,4.092624516786529,0.0,0.0,9.275648507956486,1.0760344148133738,0.48837832430328465,0.02531579427648298,0.5158670570278444,0.04642072319868427,-1.319841035397402,0.1297464744629765,0.0,0.0,1.0,0.0,29.577380839434642,3.2853335898165446,1.0,0.0,-36.61001196475795,11.591471756956176,0.6621875056822614,0.08928114178737279,33.2,11.685888926393234,0.71074801844621,0.037709465475590655,33.2,11.685888926393234,33.2,11.685888926393234,36.61001196475795,-42.48374399153113,9.024907116405105,11.591471756956176
BayesianMAB,shift-pmild_left_weak-mstrong,shift,strong,False,True,10,34.09633005490311,5.044843007487055,0.0,0.0,8.801681960891138,1.548725971076348,0.48065301120448184,0.059500003525758904,0.59895332467717,0.035717463001828084,-1.2168817225997135,0.10553845271860698,0.0,0.0,1.0,0.0,26.237760193149562,5.872234193594763,1.0,0.0,-24.459200785762153,9.680747386004098,0.5000913975096881,0.09967361393674076,21.4,6.770524351924302,0.633748232760414,0.08301299227714451,21.4,6.770524351924302,21.4,6.770524351924302,24.459200785762153,-25.849294368800734,7.4963424175879725,9.680747386004098
Thompson,shift-pmild_left_weak-mstrong,shift,strong,False,True,10,31.04676755357405,5.863219491533715,0.0,0.0,8.564527207523522,2.070615381170743,0.4585022451963242,0.04434239120135414,0.552222919494988,0.03179097362154739,-1.2559433299641243,0.1239431195124537,0.0,0.0,1.0,0.0,27.949344858153715,3.6141253800713224,1.0,0.0,-25.806663976188094,9.037611955843792,0.5652809880771675,0.1198862772217084,24.9,6.564297372910524,0.6782128166909159,0.06351921402691343,24.9,6.564297372910524,24.9,6.564297372910524,25.806663976188094,-30.611813821768685,5.312155975000107,9.037611955843792
PianoMPC,safe-psevere_left_weak-mweak,safe,weak,True,True,10,38.99435032802337,2.1610460227152086,0.004283751558002858,0.003399800887052227,8.114567121350316,0.8078575267889272,0.503521200049492,0.020359713268178724,0.5457917336308025,0.01698357961573878,-1.3751732766073719,0.03433828349910003,0.12479066830999333,0.06048984036863966,0.8752093316900067,0.06048984036863966,21.578245105912835,2.9348996372380034,1.0,0.0,-43.172041600610385,7.269999365743623,0.5171040840369108,0.04807908242984182,46.3,5.866003750424986,0.5245113894664534,0.046961578606453086,46.3,5.866003750424986,46.3,5.866003750424986,43.172041600610385,-63.57636535724631,7.4070248248347115,7.269999365743623
CCB-DF,safe-psevere_left_weak-mweak,safe,weak,True,True,10,32.47658046893059,2.4015323602685292,0.003653349177471705,0.002255021320802672,8.405539442545395,0.8196315300469026,0.42520250949504756,0.020082730475705895,0.46289546574737506,0.03112800662801957,-1.4404389036022205,0.08790995129024042,0.06901836190376269,0.02233487166651793,0.9309816380962375,0.02233487166651793,27.441822985120133,3.2646292137654176,1.0,0.0,-64.45785572337999,13.670689356807953,0.7121979830249954,0.06124932031606461,79.9,9.843271813782245,0.6987154373751616,0.051035350589374334,79.9,9.843271813782245,79.9,9.843271813782245,64.45785572337999,-114.51896284093837,10.482715887958191,13.670689356807953
