agent,profile,seed,W,Hg,delta_guard,step,is_valid_step,action_id,proposed_action_id,env_guard_pass,env_guard_replaced,env_guard_reason,reward,mastery_flag,f_t,window_max,predicted_peak,actual_peak,window_threshold,peak_threshold,agent_guard_pass,std_guard_pass,lambda_t,will_block,violation_window_flag,violation_peak_flag
pianoMPC,mild_left_weak,4051945204,20,7,0.0,0,False,18,18,True,False,safe,0.0,0,0.10400000000000001,0.10400000000000001,,0.212,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,1,False,18,18,True,False,relaxed,-5.0,0,0.158,0.158,,0.212,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,2,False,18,18,True,False,relaxed,2.616557929924971,0,0.212,0.212,,0.212,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,3,False,24,24,True,False,safe,0.1715185914310652,0,0.0,0.212,,0.162,0.22,0.22,True,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,4,False,18,18,True,False,safe,0.13167372156103646,0,0.054,0.212,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,5,False,18,18,True,False,safe,2.3983685834763784,0,0.108,0.212,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,6,False,18,18,True,False,safe,1.500727471498147,0,0.162,0.212,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,7,False,24,18,False,True,rest_fallback,-0.24258918964912873,0,0.0,0.212,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,8,False,18,18,True,False,safe,2.0661968254215757,0,0.054,0.212,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,9,False,18,18,True,False,safe,2.4765292501610974,0,0.108,0.212,,0.27,0.22,0.22,False,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,10,False,18,18,True,False,relaxed,1.4140350285181271,0,0.162,0.212,,0.27,0.22,0.22,False,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,11,False,24,24,True,False,safe,-0.6600039055099151,0,0.0,0.212,,0.27,0.22,0.22,True,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,12,False,18,18,True,False,safe,1.7247301198649843,0,0.054,0.212,,0.27,0.22,0.22,False,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,13,False,18,18,True,False,safe,2.3861272976634282,0,0.108,0.212,,0.27,0.22,0.22,False,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,14,False,18,18,True,False,safe,1.296708022133362,0,0.162,0.212,,0.27,0.22,0.22,False,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,15,False,18,18,True,False,safe,0.386386482607603,0,0.216,0.216,,0.27,0.22,0.22,False,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,16,False,18,18,True,False,relaxed,0.3020582539973638,0,0.27,0.27,,0.27,0.22,0.22,False,False,,False,1,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,17,False,24,24,True,False,safe,-1.0785823993554349,0,0.020000000000000018,0.27,,0.162,0.22,0.22,True,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,18,False,18,18,True,False,safe,0.9980777287219078,0,0.07400000000000001,0.27,,0.162,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,19,True,18,18,True,False,safe,1.5602049726866867,0,0.128,0.27,,0.162,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,20,True,24,18,False,True,rest_fallback,-0.5706318301664214,0,0.0,0.27,,0.162,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,21,True,18,18,True,False,safe,1.2946096685372601,0,0.054,0.27,,0.162,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,22,True,18,18,True,False,safe,0.8216827794660991,0,0.108,0.27,,0.162,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,23,True,18,18,True,False,relaxed,1.9031972630820688,1,0.162,0.27,,0.162,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,24,True,18,18,True,False,relaxed,0.0,0,0.10400000000000001,0.27,,0.162,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,25,True,18,18,True,False,relaxed,5.0,0,0.158,0.27,,0.162,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,26,True,24,18,False,True,rest_fallback,0.7665864077108322,0,0.0,0.27,,0.162,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,27,True,18,18,True,False,safe,1.365136514225259,0,0.054,0.27,,0.216,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,28,True,18,18,True,False,safe,0.6143936393559255,0,0.108,0.27,,0.216,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,29,True,18,18,True,False,relaxed,1.4111701809822574,0,0.162,0.27,,0.216,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,30,True,24,18,False,True,rest_fallback,-2.1510643846442594,0,0.0,0.27,,0.216,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,31,True,18,18,True,False,safe,3.016267139257823,0,0.054,0.27,,0.216,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,32,True,18,18,True,False,safe,-1.1666031207684933,0,0.108,0.27,,0.216,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,33,True,18,18,True,False,relaxed,1.32069532586182,0,0.162,0.27,,0.216,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,34,True,18,18,True,False,safe,0.3507298777648466,0,0.216,0.27,,0.216,0.22,0.22,False,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,35,True,24,24,True,False,safe,-0.7442038306727469,0,0.0,0.27,,0.216,0.22,0.22,True,True,,False,1,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,36,True,18,18,True,False,safe,1.2129983410008,0,0.054,0.216,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,37,True,18,18,True,False,safe,1.7187817392565434,0,0.108,0.216,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,38,True,18,18,True,False,relaxed,2.7878933952409763,0,0.162,0.216,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,39,True,18,18,True,False,relaxed,0.05049962674856094,1,0.216,0.216,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,40,True,18,18,True,False,safe,0.0,0,0.10400000000000001,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,41,True,18,18,True,False,safe,-5.0,0,0.158,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,42,True,24,18,False,True,rest_fallback,-0.5315440708363693,0,0.0,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,43,True,18,18,True,False,safe,0.3224905224272722,0,0.054,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,44,True,18,18,True,False,safe,0.6329242473657055,0,0.108,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,45,True,18,18,True,False,relaxed,1.014143635246524,0,0.162,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,46,True,24,24,True,False,safe,1.1545935662705775,0,0.0,0.216,,0.162,0.22,0.22,True,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,47,True,18,18,True,False,safe,2.898911541626854,0,0.054,0.216,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4051945204,20,7,0.0,48,True,18,18,True,False,safe,-0.3885360183393464,0,0.108,0.216,,0.27,0.22,0.22,False,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,49,True,18,18,True,False,safe,2.224651477090336,0,0.162,0.216,,0.27,0.22,0.22,False,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,50,True,24,18,False,True,rest_fallback,-1.5893741030260142,0,0.0,0.216,,0.27,0.22,0.22,False,False,,False,0,1
pianoMPC,mild_left_weak,4051945204,20,7,0.0,51,True,18,18,True,False,safe,1.4496487423014544,0,0.054,0.216,,0.27,0.22,0.22,False,False,,False,0,1
