param_name,scale,agent,metric,value_mean,value_std,n_seeds
eta_forget,0.0,bayesianmab,learn_slope,0.0022,0.0016,10
eta_forget,0.0,bayesianmab,ttm,69.3,37.33645820255466,10
eta_forget,0.0,ccb_df,avg_fatigue,0.5372858989550082,0.024087744659515156,10
eta_forget,0.0,ccb_df,feasible_rate,0.9157362381030275,0.031895891214634355,10
eta_forget,0.0,ccb_df,learn_slope,0.0008,0.0004,10
eta_forget,0.0,ccb_df,ttm,96.0,33.90181902690965,10
eta_forget,0.0,dqn,avg_fatigue,0.520372103408294,0.04227435332305036,10
eta_forget,0.0,dqn,feasible_rate,0.928408191017423,0.045559973013053846,10
eta_forget,0.0,dqn,learn_slope,0.001,0.0009,10
eta_forget,0.0,dqn,ttm,210.4,227.2332135347589,10
eta_forget,0.0,linucb,avg_fatigue,0.5599975126510727,0.007343385382857137,10
eta_forget,0.0,linucb,feasible_rate,0.9750408625462367,0.008686366087780116,10
eta_forget,0.0,linucb,learn_slope,0.0003,0.0005,10
eta_forget,0.0,linucb,ttm,309.8,188.01170176348066,10
eta_forget,0.0,pianoMPC,avg_fatigue,0.5622163800122004,0.019554925426168594,10
eta_forget,0.0,pianoMPC,feasible_rate,0.8801304877130833,0.03806817621671725,10
eta_forget,0.0,pianoMPC,learn_slope,0.004,0.0022,10
eta_forget,0.0,pianoMPC,ttm,42.8,12.6473536977328,10
eta_forget,0.0,safe_ac,avg_fatigue,0.5390126107783602,0.03590698256861255,10
eta_forget,0.0,safe_ac,feasible_rate,0.916597499597043,0.043871103312546636,10
eta_forget,0.0,safe_ac,learn_slope,0.0013,0.0008,10
eta_forget,0.0,safe_ac,ttm,78.1,27.67449688391422,10
eta_forget,0.0,thompson,avg_fatigue,0.5532974918722247,0.01646032348937001,10
eta_forget,0.0,thompson,feasible_rate,0.9090989697980758,0.021681445549864366,10
eta_forget,0.0,thompson,learn_slope,0.0005,0.0004,10
eta_forget,0.0,thompson,ttm,159.9,92.79301937346605,10
eta_forget,0.15,autocurriculum,avg_fatigue,0.5278251325498562,0.007988665628621815,10
eta_forget,0.15,autocurriculum,feasible_rate,0.9350000000000002,0.011573703697777573,10
eta_forget,0.15,autocurriculum,learn_slope,0.0,0.0,10
eta_forget,0.15,autocurriculum,ttm,600.0,0.0,10
eta_forget,0.15,bayesianmab,avg_fatigue,0.5236865477577256,0.0595940856968182,10
eta_forget,0.15,bayesianmab,feasible_rate,0.8960959116129359,0.024749615143754938,10
