param_name,scale,agent,metric,value,seed,profile,eta_forget_base,eta_forget_eff,gamma_f_base,gamma_f_eff,kappa_base,kappa_eff
eta_forget,-0.15,linucb,avg_fatigue,0.5507956210387928,98,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,learn_slope,7.109847138286527e-05,98,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,ttm,284.0,195,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,feasible_rate,0.9788732394366197,195,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,avg_fatigue,0.5610944735387319,195,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,learn_slope,7.412898443291327e-05,195,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,ttm,231.0,292,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,feasible_rate,0.9653679653679653,292,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,avg_fatigue,0.5585185406926404,292,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,learn_slope,0.00011195700850873264,292,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,ttm,339.0,389,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,feasible_rate,0.976401179941003,389,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,avg_fatigue,0.5650467649992622,389,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,learn_slope,5.2056220718375845e-05,389,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,ttm,266.0,486,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,feasible_rate,0.9887218045112782,486,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,avg_fatigue,0.5517651109022557,486,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,learn_slope,8.448086508405846e-05,486,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,ttm,600.0,583,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,feasible_rate,0.975,583,balanced,0.02,0.017,NA,NA,NA,NA
eta_forget,-0.15,linucb,avg_fatigue,0.5625824308735826,583,balanced,0.02,0.017,NA,NA,NA,NA
