scenario,agent,num_runs,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,time_to_mastery_mean,time_to_mastery_std
obs_noise_x3,PianoMPC,10,0.0024200963875730826,0.0037323711617831368,0.46775479680719906,0.07019734857610606,0.05163779951188888,0.04159708784996242,0.948362200488111,0.04159708784996238,60.06666666666666,1.4342175765653808
obs_noise_x3,BayesianMAB,10,0.005478864008692651,0.003272091734505935,0.47911692317836047,0.10023542824268789,0.09320593831231012,0.03955719372456231,0.9067940616876898,0.03955719372456237,63.96666666666667,52.78154516402926
obs_noise_x3,CCB-DF,10,0.004559617830286223,0.002929975277717333,0.456678945194553,0.14259305937939717,0.07488058796957471,0.02238413097296497,0.9251194120304252,0.02238413097296471,73.30000000000001,13.608450114738444
obs_noise_x3,LinUCB,10,0.0038426229579878687,0.001854049348583384,0.4728110166413204,0.10936269719480507,0.0720030744566323,0.03095743446221493,0.9279969255433677,0.030957434462215012,80.3,18.990253910382688
obs_noise_x3,Thompson,10,0.006560398220276074,0.0030221277946125133,0.4737618901989653,0.1035619871733195,0.09188308796186027,0.022038231409946627,0.9081169120381398,0.022038231409946433,79.43333333333334,29.470641143978582
obs_noise_x4,PianoMPC,10,0.0021787665685036872,0.0013279751365884807,0.43748918520728647,0.0984245777357446,0.045786261855938114,0.01745255914485559,0.954213738144062,0.017452559144855728,85.8,12.53936025288605
obs_noise_x4,BayesianMAB,10,0.006467889842250197,0.0032713684771772354,0.4497998904423312,0.11864855954698908,0.0812403415239511,0.0353654258032866,0.9187596584760489,0.035365425803286776,105.23333333333335,50.22772471874274
obs_noise_x4,CCB-DF,10,0.005171875702599441,0.0011121032084934748,0.43378055948262545,0.1254758501916203,0.07185359012339503,0.007234921211408159,0.928146409876605,0.007234921211408072,125.13333333333333,15.846643977508323
obs_noise_x4,LinUCB,10,0.004716548057153797,0.0007762434207274358,0.4489024370320441,0.10540789572082952,0.06889228600901738,0.018970034195650992,0.9311077139909826,0.01897003419565119,103.26666666666667,14.834968698680882
obs_noise_x4,Thompson,10,0.005246050744974493,0.0028529488211931904,0.4588817936266678,0.1301489162816095,0.07601921267397545,0.013351060884025902,0.9239807873260245,0.013351060884025783,136.53333333333333,63.46198045178814
transfer_x0.8,PianoMPC,10,0.003238677316870648,0.0012716984377843595,0.5172891860969543,0.05291243694278154,0.09574965751678728,0.03746661165991109,0.9042503424832128,0.037466611659911185,34.699999999999996,7.563373280699395
transfer_x0.8,BayesianMAB,10,0.0036864643085017415,0.0014824743467716866,0.4417286980658564,0.1531111455988414,0.07903851779632674,0.005935509174596332,0.9209614822036732,0.005935509174596406,39.800000000000004,10.71639848915437
transfer_x0.8,CCB-DF,10,0.0039375971083910255,0.0019297958595446048,0.48907784096861456,0.13381356844961567,0.08002663353209598,0.025889710267567832,0.9199733664679041,0.025889710267567808,60.96666666666667,9.348854615348156
transfer_x0.8,LinUCB,10,0.0006632950431806466,0.0004166808100155015,0.5075932198491302,0.11965952744122718,0.03475551051851115,0.022188038023089683,0.9652444894814889,0.022188038023089957,53.93333333333334,5.801051088497641
transfer_x0.8,Thompson,10,0.0038814242993232607,0.0021289762400586213,0.4992749849678406,0.07437436663408696,0.08879540566613316,0.046277525449223554,0.9112045943338668,0.04627752544922373,59.46666666666666,0.5171145012478253
transfer_x1.2,PianoMPC,10,0.002050687428422227,0.001986204183501847,0.4737423457326108,0.02032545052177546,0.07522716131585651,0.06772268843576812,0.9247728386841435,0.06772268843576819,20.3,5.169155727921985
transfer_x1.2,BayesianMAB,10,0.003659266683520856,0.0032459187967612394,0.428065000300575,0.12272525388834254,0.07684126962404633,0.0431828467014305,0.9231587303759538,0.04318284670143035,27.233333333333334,12.827230205845556
transfer_x1.2,CCB-DF,10,0.0037164232065054425,0.0028813479195478916,0.48692444910006333,0.1127825164749329,0.07299860857879976,0.029402032967835005,0.9270013914212004,0.029402032967834956,39.266666666666666,10.030298828270329
transfer_x1.2,LinUCB,10,0.0005553386561131771,0.000542543610631724,0.5070699651303187,0.09570658366099635,0.029156793154578486,0.01372046218664335,0.9708432068454216,0.013720462186643304,42.46666666666667,7.412282868359486
transfer_x1.2,Thompson,10,0.0027271290146302224,0.001602182181214069,0.47214809838705224,0.09584632337721168,0.062138173644254426,0.0037481428344748133,0.9378618263557456,0.0037481428344746186,35.63333333333333,8.790946521212911
obs_x2_transfer_x0.8,PianoMPC,10,0.002932170516780249,0.0018659666856885259,0.4948887882047947,0.07598465711152717,0.06751538215382924,0.014024237914833987,0.9324846178461708,0.014024237914834016,43.06666666666666,4.188799336994435
obs_x2_transfer_x0.8,BayesianMAB,10,0.004338476304337033,0.002734825519192733,0.4652471548330155,0.13378402643112047,0.08066642538499093,0.03491434840628976,0.9193335746150092,0.03491434840628951,56.833333333333336,13.947351145783296
obs_x2_transfer_x0.8,CCB-DF,10,0.003686384619755432,0.003161397442826383,0.4700398972562718,0.1375464061186812,0.07129765028175353,0.03874092427158796,0.9287023497182464,0.03874092427158805,71.43333333333332,5.466984564380927
obs_x2_transfer_x0.8,LinUCB,10,0.003190701324688284,0.002227254705419262,0.5008407343676753,0.09063894685759068,0.07201240586022557,0.041447565656488675,0.9279875941397743,0.041447565656488654,72.76666666666667,7.1839842447175855
obs_x2_transfer_x0.8,Thompson,10,0.005033945860930749,0.002782123699885064,0.4780210282648523,0.08556469670401796,0.08206218383174341,0.032503118495306904,0.9179378161682568,0.03250311849530686,61.9,19.17940936474912
obs_x2_transfer_x1.2,PianoMPC,10,0.0027356753535974425,0.001540171768085851,0.4671550895094678,0.03160686868181677,0.05945967720053472,0.048934171846018094,0.9405403227994652,0.04893417184601843,28.23333333333333,14.789140930198359
obs_x2_transfer_x1.2,BayesianMAB,10,0.004486456465661939,0.0007173241150812006,0.47173241082312184,0.1666077109175881,0.084394598634063,0.029522951139242415,0.9156054013659368,0.02952295113924211,39.36666666666667,23.380386013256953
obs_x2_transfer_x1.2,CCB-DF,10,0.005182585940722685,0.0012541285058691712,0.47659460828691946,0.10931483371009212,0.08703118965102859,0.013780754294062022,0.9129688103489714,0.013780754294062012,44.53333333333333,13.506796853771046
obs_x2_transfer_x1.2,LinUCB,10,0.0037680813593697813,0.002022466140097951,0.5020904193135003,0.1298663209745371,0.08171805694136565,0.02063534252115441,0.9182819430586342,0.02063534252115441,48.43333333333334,17.016494427875134
obs_x2_transfer_x1.2,Thompson,10,0.004750346465170652,0.0028047166185116274,0.4774118057805754,0.09421404860648787,0.07886555655360865,0.04444227126535015,0.9211344434463915,0.04444227126535026,44.70000000000001,4.553499640259677
obs_x3_transfer_x1.2,PianoMPC,10,0.0023000513635680745,0.0031906938164071204,0.4604596630787687,0.05938244537213831,0.05288313095918903,0.03855557025987375,0.947116869040811,0.038555570259873835,47.166666666666664,18.399955096954894
obs_x3_transfer_x1.2,BayesianMAB,10,0.004695679146160293,0.004449161203204409,0.46055159633139486,0.12416253269743839,0.07822076963720934,0.05917383623776079,0.9217792303627906,0.05917383623776102,62.166666666666664,44.84562377155797
obs_x3_transfer_x1.2,CCB-DF,10,0.003992318299934573,0.002233818901051968,0.44749824715076164,0.12232256308247573,0.06425953289826851,0.03169496976526103,0.9357404671017315,0.031694969765261094,57.06666666666666,18.430114400097953
obs_x3_transfer_x1.2,LinUCB,10,0.00444184970765296,0.0034606099633725214,0.4702623744492623,0.15355350820098976,0.06908333230831123,0.02417570574166881,0.9309166676916888,0.024175705741668878,72.26666666666667,40.68402809960094
obs_x3_transfer_x1.2,Thompson,10,0.007109783696347527,0.005793386053982961,0.48246388007192814,0.0822431994061118,0.10729780608070238,0.05825256817879692,0.8927021939192977,0.0582525681787969,74.7,15.077713218250347
