scenario,agent,num_runs,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,time_to_mastery_mean,time_to_mastery_std
obs_noise_x1.5,PianoMPC,5,0.0033700398179425696,0.002833759629192553,0.49603965110512765,0.029689448740898662,0.09071673253632762,0.06570947551282429,0.9092832674636724,0.06570947551282415,27.333333333333332,8.077586731554803
obs_noise_x1.5,BayesianMAB,5,0.006491700217957156,0.004802907521086051,0.48949950067502207,0.15821722927788542,0.11432443454104257,0.0532276538072587,0.8856755654589574,0.053227653807258433,40.6,11.641041454719046
obs_noise_x1.5,CCB-DF,5,0.0044471374699349316,0.0052919788798748675,0.48696764617552296,0.08598971850939832,0.08003444632805792,0.09216328898251586,0.9199655536719421,0.09216328898251597,48.199999999999996,8.705121785320816
obs_noise_x1.5,LinUCB,5,0.0021574645583325924,0.0022465286560913846,0.5082081787338049,0.11203716575500633,0.0568437401907545,0.011847653805355083,0.9431562598092454,0.011847653805354892,54.6,13.7774496788562
obs_noise_x1.5,Thompson,5,0.003969269552702712,0.004193518748832514,0.4816370966248071,0.12368462887827142,0.07189779689281099,0.0318343604371683,0.9281022031071889,0.03183436043716842,48.93333333333334,8.494637155115688
obs_noise_x2,PianoMPC,5,0.0031571708003218708,0.0038383499768033886,0.4820186644069571,0.039391391153744085,0.0762449987287287,0.07707489979554343,0.9237550012712713,0.07707489979554344,32.06666666666666,10.624832493939262
obs_noise_x2,BayesianMAB,5,0.003152493445499656,0.00247562763123113,0.46400316238916334,0.09231199191553706,0.07027675408328565,0.005914028614126104,0.9297232459167143,0.005914028614126082,48.73333333333333,18.64482849534995
obs_noise_x2,CCB-DF,5,0.005319028080630664,0.004211018623172388,0.4737428640675903,0.12812889883958783,0.07809764570621235,0.027745703982145195,0.9219023542937874,0.02774570398214495,59.333333333333336,10.624832493939264
obs_noise_x2,LinUCB,5,0.0025646835164906184,0.002928866464322267,0.48192530286528895,0.07588692047728869,0.05184112344367894,0.03810029276447958,0.9481588765563211,0.03810029276447963,63.86666666666667,23.75611602133355
obs_noise_x2,Thompson,5,0.0045591308544999974,0.003470557253109186,0.4717619733072764,0.15319156234510442,0.07676520982013464,0.03895246197729984,0.9232347901798653,0.0389524619772997,48.46666666666667,11.001486560901975
obs_noise_x3,PianoMPC,5,0.0021259068731846985,0.0010525093994142361,0.4688276029757091,0.09058028983247758,0.05305406771771206,0.023655062129309838,0.9469459322822878,0.02365506212930987,64.46666666666665,38.4338199829513
obs_noise_x3,BayesianMAB,5,0.004290744097197433,0.001981547796342509,0.4625184032667515,0.14016948041923646,0.07408882512009317,0.05581058272203408,0.9259111748799068,0.055810582722033944,66.26666666666667,46.163094989163355
obs_noise_x3,CCB-DF,5,0.004997216510344542,0.003413645844382961,0.4540027119841937,0.11430837646592827,0.07893233661332366,0.025679622611862046,0.9210676633866762,0.025679622611861876,67.86666666666666,14.741077749404457
obs_noise_x3,LinUCB,5,0.0052384310821978275,0.004595137658473997,0.4848209725913772,0.12378951410922408,0.09050711493468823,0.030073461035458524,0.9094928850653119,0.030073461035458375,75.66666666666667,25.53390684647063
obs_noise_x3,Thompson,5,0.004267106618787987,0.0034060507220807445,0.45988950941166484,0.13317101032593362,0.0641354265139817,0.007926147269189616,0.9358645734860183,0.007926147269189623,67.0,10.574376383251366
obs_noise_x4,PianoMPC,5,0.00291740959027219,0.00254017222370383,0.44602577757479117,0.07976256317586618,0.06125234151742381,0.05132314333185829,0.9387476584825762,0.0513231433318583,85.46666666666665,95.10755165359994
obs_noise_x4,BayesianMAB,5,0.005633822965758765,0.005145848910228414,0.4383449161953199,0.16694893188085483,0.07509755087552268,0.058638068350071106,0.9249024491244772,0.05863806835007122,114.73333333333333,49.63387548217986
obs_noise_x4,CCB-DF,5,0.005427072040142262,0.0012155523556466696,0.4380505768152974,0.10221130816390743,0.0771586198298752,0.02719054699651533,0.9228413801701247,0.027190546996515474,99.53333333333335,75.93718201508857
obs_noise_x4,LinUCB,5,0.004123430763839319,0.0008427978521939388,0.4407825334754561,0.13705979073718305,0.06767213775167166,0.018219450536835404,0.9323278622483283,0.018219450536835487,101.06666666666666,48.86200581716265
obs_noise_x4,Thompson,5,0.0046277866244363065,0.0030837359990179176,0.43842461504213937,0.12540704179947842,0.06210042153813449,0.04028689977738398,0.9378995784618654,0.04028689977738413,87.73333333333333,61.14478450589229
transfer_x0.6,PianoMPC,5,0.003544160816322661,0.00221905417849669,0.5345793026018106,0.09122357818371171,0.10673686172371714,0.04869105253127675,0.8932631382762829,0.04869105253127686,44.13333333333333,4.616309498916336
transfer_x0.6,BayesianMAB,5,0.003782172941634579,0.002256035308864112,0.427910303335507,0.25583814159937507,0.07562545843910934,0.045337270677343285,0.9243745415608906,0.04533727067734311,59.93333333333334,14.915862796279956
transfer_x0.6,CCB-DF,5,0.0030111042051180373,0.0011352739609471216,0.47416327311847617,0.0803714320779943,0.06544789135991663,0.029746876769432468,0.9345521086400833,0.02974687676943242,79.33333333333333,15.12130626395205
