scenario,agent,profile,num_runs,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,mastery_rate,regret_mean,regret_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
obs_noise_x1.5,PianoMPC,balanced,5,39.19074749870707,2.5984534972520836,0.002056472332015829,0.001246128708635979,10.306637440925304,1.691194047629931,0.5001731084133261,0.0229113607917537,0.6250452480686628,0.02495324194735276,-1.2923850274485722,0.09942360431841067,0.0671207415772633,0.018661870891026156,0.9328792584227367,0.01866187089102613,20.5449256655569,4.1356923083394745,1.0,0.0,1.0,-8.1083701954025,6.217888428976719,0.36607689457400233,0.05376649218441318,23.8,4.166533331199932,0.4666368540042575,0.03155032134826243,23.8,4.166533331199932,23.8,4.166533331199932,8.1083701954025,-30.466956477422606,3.6552130344039107,6.217888428976719
obs_noise_x1.5,PianoMPC,mild_left_weak,5,37.18364976302809,3.4895578296850838,0.003941987769669733,0.0034467647798804095,10.085202008124,1.2619113356025298,0.5053758569187754,0.03679336470419371,0.6231976253757423,0.036317953191868535,-1.2690499096982495,0.09686281188684957,0.08571858873809361,0.06688558223024288,0.9142814112619064,0.0668855822302429,22.066996102326705,6.167504468010892,1.0,0.0,1.0,-23.65429458137472,5.5365047190914005,0.45550415098037644,0.09656893770306696,28.0,8.366600265340756,0.5240466022721242,0.06299951028658864,28.0,8.366600265340756,28.0,8.366600265340756,23.65429458137472,-34.860376783366405,7.984202854997793,5.5365047190914005
obs_noise_x1.5,PianoMPC,severe_left_weak,5,41.11294631775941,3.4555691583506127,0.0041116593521421455,0.0011096947826602461,11.313525899211536,1.7640857957195353,0.4825699879832814,0.025771271266393808,0.6007336829449039,0.013726852684668294,-1.3935977073827235,0.06400446871724214,0.11931086729362592,0.03585345196556154,0.8806891327063742,0.035853451965561556,21.324383864833617,4.51233951349898,1.0,0.0,1.0,-23.690546982470085,8.869331759071615,0.5285749860185665,0.02527429867558769,30.2,2.9257477676655586,0.5405489519687693,0.00799642686553785,30.2,2.9257477676655586,30.2,2.9257477676655586,23.690546982470085,-41.913799323102594,2.545280772392656,8.869331759071615
obs_noise_x1.5,BayesianMAB,balanced,5,27.6503033397431,2.7156850280653617,0.00868492100703747,0.0022559882204329948,10.392240930521298,0.7886840429205173,0.5564257329957489,0.014400898487650856,0.5687068469317722,0.02838710148474655,-1.2561306211934338,0.07631943615238711,0.1354280534419319,0.0340984270954882,0.8645719465580681,0.03409842709548821,28.153784420889526,4.5167830037429395,1.0,0.0,1.0,-31.6550844201622,10.428634279047454,0.5993566820114039,0.07485361843601984,38.2,5.491812087098392,0.6760329614216443,0.06066479733006043,38.2,5.491812087098392,38.2,5.491812087098392,31.6550844201622,-48.0602364544442,7.8697753784299,10.428634279047454
obs_noise_x1.5,BayesianMAB,mild_left_weak,5,28.882797752266242,4.084742992267897,0.005033855446355451,0.004959317486000533,11.146709436912687,2.1220537674934117,0.48244100122850125,0.057664476919376484,0.5692161225259684,0.027467476341340974,-1.2878567881036054,0.07290651263497643,0.09258804258804258,0.06616979242855824,0.9074119574119572,0.06616979242855825,27.542951341859016,4.933816219148497,1.0,0.0,1.0,-27.95677661133725,7.950026073092846,0.6198966787810172,0.09431843914934553,37.6,8.867919710958146,0.6724890672480999,0.05668242601893346,37.6,8.867919710958146,37.6,8.867919710958146,27.95677661133725,-48.3729470704007,12.001606772910336,7.950026073092846
obs_noise_x1.5,BayesianMAB,severe_left_weak,5,27.265704569183164,1.5749182160775035,0.005756324200478548,0.001737697807125724,12.058666710135546,0.5341964788101116,0.42963176780081624,0.05591153428688451,0.5562296999562272,0.04887930653009452,-1.319324828761147,0.07436260873941046,0.11495720759315323,0.029023546547664196,0.8850427924068468,0.0290235465476642,27.918794266324642,3.9262084112124658,1.0,0.0,1.0,-33.61757461139523,10.355551612868533,0.7366191298418364,0.08506154321597818,46.0,8.67179335547152,0.7189681415071127,0.07156971093854866,46.0,8.67179335547152,46.0,8.67179335547152,33.61757461139523,-60.39665428772872,9.967602187856684,10.355551612868533
obs_noise_x1.5,CCB-DF,balanced,5,27.447683878305366,3.6101199398785164,0.002168377291891365,0.0016705815198017288,11.0112657496503,1.1201074421985393,0.5163207017572529,0.01985851589297735,0.5111714071426491,0.030942171141002808,-1.363882906855021,0.06960312905788615,0.03726383850268545,0.02957754035916424,0.9627361614973147,0.02957754035916424,29.045640902144818,4.425589667504055,1.0,0.0,1.0,-37.979705113490915,8.014394687623298,0.6250548051588335,0.10271968514085035,44.8,8.009993757800315,0.6710769862540499,0.06885185781462103,44.8,8.009993757800315,44.8,8.009993757800315,37.979705113490915,-60.670060219653635,9.141458750396435,8.014394687623298
obs_noise_x1.5,CCB-DF,mild_left_weak,5,30.41899494824539,8.458890651639749,0.004784238326469575,0.0047189076140304815,10.517679223178474,0.7255416093056949,0.49578649701887034,0.02690139625549936,0.5046538601469222,0.0560638339423587,-1.4009735865325355,0.177486437364835,0.0993056323887967,0.059280325764081966,0.9006943676112034,0.05928032576408195,28.06585850053285,3.9892057879460396,1.0,0.0,1.0,-46.049573816662715,11.734644329743519,0.6759963907742337,0.13909221206447553,48.0,10.69579356569675,0.6974772639671616,0.0844412914919545,48.0,10.69579356569675,48.0,10.69579356569675,46.049573816662715,-65.47152745080666,9.106022753145458,11.734644329743519
obs_noise_x1.5,CCB-DF,severe_left_weak,5,30.744366892365395,4.817043967956571,0.0063887967914438544,0.0022478836145433463,10.681971588718287,1.0089764901285572,0.44879573975044573,0.026373213226848602,0.49750822376218123,0.048619495246444454,-1.4221666901733363,0.126678161081838,0.10353386809269163,0.02608667412435589,0.8964661319073084,0.026086674124355908,26.175514333097603,2.4001003615131613,1.0,0.0,1.0,-46.53918774559559,19.982579401590414,0.7596563468398697,0.12527518338303464,51.8,10.961751684835777,0.7572887380321804,0.0802257613950879,51.8,10.961751684835777,51.8,10.961751684835777,46.53918774559559,-72.30954898153675,9.758142905315959,19.982579401590414
obs_noise_x1.5,LinUCB,balanced,5,26.779715645741,4.278848805300429,0.0015088751412050626,0.001086748507495234,11.82420066405424,1.0320372288204231,0.5539186948920771,0.010622663699463892,0.5452424936779422,0.043698488430363565,-1.3274320944045699,0.12308559191037753,0.05222605712464122,0.022338293985453454,0.9477739428753587,0.022338293985453447,27.797337187859522,5.32478357689132,1.0,0.0,1.0,-44.96956030493352,4.576019452770603,0.6628862129004153,0.09592674201316932,51.6,12.467557900406959,0.6823737127992382,0.05937993654569766,51.6,12.467557900406959,51.6,12.467557900406959,44.96956030493352,-67.35348780723965,12.77989161975107,4.576019452770603
