scenario,agent,profile,num_runs,guard_delta,safety_margin,action_changed_rate_mean,action_changed_rate_std,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,executed_step_cap_violation_rate_mean,executed_step_cap_violation_rate_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,guard_replacement_rate_mean,guard_replacement_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,mastery_rate,proposed_relaxed_violation_rate_mean,proposed_relaxed_violation_rate_std,proposed_step_cap_violation_rate_mean,proposed_step_cap_violation_rate_std,regret_mean,regret_std,relaxed_execution_rate_mean,relaxed_execution_rate_std,rest_fallback_rate_mean,rest_fallback_rate_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
shared_default,PianoMPC,balanced,5,0.08,0.05,0.0,0.0,40.6146343766083,2.259369246389938,0.0007496278575226151,0.0006513733805417694,7.371449658822319,1.168954328868275,0.5034590377458802,0.019609019285562114,0.6233163635308012,0.016399206619953345,-1.2360661876813568,0.05401014677784805,0.15497962076909447,0.07465260124510185,0.04369129895445685,0.02686163561759075,0.9563087010455431,0.02686163561759076,0.0,0.0,22.345800316440894,3.685837596950167,1.0,0.0,1.0,0.0,0.0,0.15497962076909447,0.07465260124510185,-18.95897545849939,6.691665320313643,0.15497962076909447,0.07465260124510185,0.0,0.0,0.4040671771319507,0.06188842421937693,26.6,5.986651818838307,0.4944378482223904,0.0322246160323389,26.6,5.986651818838307,26.6,5.986651818838307,18.95897545849939,-32.60950370992505,5.960491101412415,6.691665320313643
shared_default,PianoMPC,mild_left_weak,5,0.08,0.05,0.0,0.0,38.39914393287494,1.7445674015370602,0.0025920337995338247,0.0017829405475289044,7.767617210576657,0.7303469402631003,0.49726258508158533,0.013984116591032748,0.6155117048611516,0.026542128406891973,-1.2359215123132357,0.056039015253665884,0.18300407925407927,0.05665079379420842,0.07189976689976689,0.04099557199618351,0.9281002331002333,0.04099557199618352,0.0,0.0,20.398513691602687,4.7958417373083915,1.0,0.0,1.0,0.0,0.0,0.18300407925407927,0.05665079379420842,-25.104796609210233,13.364776564620668,0.18300407925407927,0.05665079379420842,0.0,0.0,0.4675463808413422,0.038929848653950355,29.2,3.1874754901018454,0.5121286201128556,0.0349817954660292,29.2,3.1874754901018454,29.2,3.1874754901018454,25.104796609210233,-36.030897695861974,3.7034731511757113,13.364776564620668
shared_default,PianoMPC,severe_left_weak,5,0.08,0.05,0.0,0.0,40.875442402882165,1.8568541409971044,0.0030663302878475547,0.0025248851050765427,8.779656534357084,1.3833434554025286,0.4797815612535614,0.01765065478809953,0.5716860770780929,0.0238420788590444,-1.3645494313641278,0.05879466650203757,0.19282129875233323,0.020513613279876875,0.10692916789468514,0.051039055742553074,0.8930708321053148,0.051039055742553054,0.0,0.0,20.787440590239747,1.885910688349155,1.0,0.0,1.0,0.0,0.0,0.19282129875233323,0.020513613279876875,-30.24038564121944,7.34551638027241,0.19282129875233323,0.020513613279876875,0.0,0.0,0.5257547781525708,0.04803092041253355,29.8,4.833218389437829,0.5645747596267953,0.014366770128249244,29.8,4.833218389437829,29.8,4.833218389437829,30.24038564121944,-40.406408548851026,4.72152926957461,7.34551638027241
shared_default,BayesianMAB,balanced,5,0.08,0.05,0.16422798297037647,0.02175796161073475,29.921274117087428,2.680933440892782,0.004806215812584997,0.0028610514120110645,7.266722538835372,0.7295931876541284,0.49171517330539655,0.04509616167382558,0.5586755534799362,0.03637352453667341,-1.205308000742372,0.07034869003066706,0.12820408800124822,0.05465630755305297,0.08251120076677884,0.0367830338768257,0.9174887992332211,0.03678303387682569,0.16422798297037647,0.02175796161073475,25.59241111340298,2.3185602015999702,1.0,0.0,1.0,0.09529010543209326,0.03766626781861457,0.28553551924748677,0.056420147743883646,-19.939490279919788,6.108495067072306,0.12130753627711033,0.049627490253759024,0.16422798297037647,0.02175796161073475,0.5053994846824851,0.046906402654145474,30.6,3.3823069050575527,0.6255604986816691,0.02395768585710379,30.6,3.3823069050575527,30.6,3.3823069050575527,19.939490279919788,-36.962611422144214,5.1178747895390355,6.108495067072306
shared_default,BayesianMAB,mild_left_weak,5,0.08,0.05,0.17207959045687243,0.06964978967135238,29.88976519289482,4.352626424267865,0.0012234019124891349,0.00113108494800742,7.309542344002904,0.3819215099255508,0.41695873570648423,0.09335799456025266,0.5432708256501821,0.044802976163520476,-1.2326383040943125,0.09905511101164295,0.06102445222120678,0.06589220884934535,0.034620511334507276,0.02269316853846806,0.9653794886654927,0.022693168538468075,0.17207959045687243,0.06964978967135238,29.20562459172347,4.028648395529822,1.0,0.0,1.0,0.07140851035374363,0.06531052109166326,0.2331040426780792,0.11888431833118257,-30.250012781664473,15.08703760035175,0.06102445222120678,0.06589220884934535,0.17207959045687243,0.06964978967135238,0.5564824758624449,0.15976241397939026,36.8,14.945233353815523,0.6466469416690102,0.10712576611755047,36.8,14.945233353815523,36.8,14.945233353815523,30.250012781664473,-43.970481773435964,13.450170436323573,15.08703760035175
shared_default,BayesianMAB,severe_left_weak,5,0.08,0.05,0.13899018232819074,0.0699717969995164,31.9841099725905,4.33157442457979,0.0050951966873706055,0.002658676009926406,9.163321497651905,1.0653286375194337,0.3964935353636546,0.09904013146456404,0.5062390966707694,0.05823101736559963,-1.3693597667204365,0.1383569194955205,0.11954451345755693,0.07167402391620667,0.07321946169772257,0.046550247829648846,0.9267805383022776,0.046550247829648846,0.13899018232819074,0.0699717969995164,26.10554590927908,4.918840682251791,1.0,0.0,1.0,0.06691511387163561,0.04970242508499806,0.25853469578574767,0.11319354778795056,-36.251333650624495,6.5235284364766954,0.11954451345755693,0.07167402391620667,0.13899018232819074,0.0699717969995164,0.592159450154317,0.15204772779332687,36.0,11.366617790706258,0.6445318220449118,0.09259730790889031,36.0,11.366617790706258,36.0,11.366617790706258,36.251333650624495,-48.48591845031458,12.348385379135134,6.5235284364766954
shared_default,CCB-DF,balanced,5,0.08,0.05,0.2865573152337858,0.006909355245475722,32.130998469089114,5.042937196757058,0.0016067779034690838,0.0014359499422066124,6.955341606209197,1.0207114232405143,0.5126678638763198,0.014803248553770616,0.4825199275724413,0.03090473955294315,-1.3531844766405272,0.11428027662999045,0.04982088989441931,0.04595404528949942,0.02939291101055807,0.027218389812799556,0.970607088989442,0.027218389812799556,0.2865573152337858,0.006909355245475722,24.809184696295368,4.9354091861487115,1.0,0.0,1.0,0.10778657616892913,0.0310334738698846,0.33637820512820515,0.0450988658307265,-33.633025173430255,10.554264766386394,0.04982088989441931,0.04595404528949942,0.2865573152337858,0.006909355245475722,0.5411661129608636,0.09186921030149184,37.6,7.172168430816443,0.6300044382353801,0.053427588018994596,37.6,7.172168430816443,37.6,7.172168430816443,33.633025173430255,-50.06713172288606,4.627996568543707,10.554264766386394
shared_default,CCB-DF,mild_left_weak,5,0.08,0.05,0.29159911772815,0.00477031604847644,29.405000576283793,4.972555649460414,0.0018009087400055203,0.0013728868366619147,8.457369759604848,1.1450238399870694,0.4735312324234905,0.014496184484071774,0.5073734790832927,0.04305213717436997,-1.3264589402909557,0.13835020287705807,0.0653057623380204,0.03144827720387971,0.06835566583953681,0.024165391998831,0.9316443341604632,0.024165391998830995,0.29159911772815,0.00477031604847644,26.36188565631516,4.568586155864286,1.0,0.0,1.0,0.1237937689550593,0.03282007669375615,0.3569048800661704,0.031467780414516706,-46.09993036588378,11.867268602979705,0.0653057623380204,0.03144827720387971,0.29159911772815,0.00477031604847644,0.6729000025158693,0.12000536614748278,48.0,10.13903348450926,0.6918517015188316,0.08151198660772153,48.0,10.13903348450926,48.0,10.13903348450926,46.09993036588378,-62.356967777526464,8.367921580943355,11.867268602979705
shared_default,CCB-DF,severe_left_weak,5,0.08,0.05,0.29248474699965055,0.016485955993521234,26.847131396549155,2.943561588372046,0.0032871892578058585,0.0011809471640492188,8.215668757511178,1.1650880182920034,0.44411882775319367,0.006398861095170389,0.5248280857816469,0.029748406431965663,-1.2663101963101837,0.06991078893714366,0.10007267014864911,0.03388239357552623,0.07223103541046265,0.010136169493565314,0.9277689645895373,0.010136169493565305,0.29248474699965055,0.016485955993521234,30.146843888209155,2.8322728821612975,1.0,0.0,1.0,0.15249722461879095,0.02511471527368761,0.38795971599887435,0.01700217958019229,-55.59181003198531,8.613553288340563,0.09547496899922382,0.026199988769975383,0.29248474699965055,0.016485955993521234,0.8507023813018252,0.04429968663251676,62.8,12.221292893961751,0.8079674059391102,0.017426909143009556,62.8,12.221292893961751,62.8,12.221292893961751,55.59181003198531,-78.76011486094136,10.525421152605045,8.613553288340563
shared_default,LinUCB,balanced,5,0.08,0.05,0.0,0.0,29.367990673359383,5.452806387168859,0.0005552359405300592,0.0008244132286694309,6.993022389463493,0.5985031773906708,0.5530606855562737,0.008873304657840475,0.5176332852809408,0.03842164645480438,-1.2665431953557853,0.13310239811362776,0.0,0.0,0.0240142210730446,0.026281176289970433,0.9759857789269553,0.026281176289970423,0.0,0.0,28.55734147529954,2.4021347441208,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-32.90756008215409,11.628049764135518,0.0,0.0,0.0,0.0,0.6156506159005917,0.10908170071151516,43.2,10.322790320451151,0.6722378320102506,0.06493945267642737,43.2,10.322790320451151,43.2,10.322790320451151,32.90756008215409,-53.4419516912478,8.438131308733952,11.628049764135518
