scenario,agent,profile,num_runs,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,mastery_rate,regret_mean,regret_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
obs_noise_x3,PianoMPC,balanced,10,34.841923892601145,4.71731624337242,0.001229007645649888,0.001443452068000708,19.872167774852905,2.691897774684423,0.4966245380284177,0.027410498687128203,0.6792293211846615,0.0429989637849402,-1.4096618172960904,0.09458961895499517,0.03626638117412195,0.034501018970183935,0.963733618825878,0.03450101897018394,23.392551261326346,4.6728304520264325,1.0,0.0,1.0,-20.251937945874307,13.128247923997398,0.514294483189683,0.0745547510592013,59.4,34.687749999099104,0.5214175282868829,0.052707225793193535,59.4,34.687749999099104,59.4,34.687749999099104,20.251937945874307,-81.46966111449524,44.15516903987559,13.128247923997398
obs_noise_x3,PianoMPC,mild_left_weak,10,35.39261893945515,4.000324967007596,0.0019231978015564455,0.001802702462145399,20.085771676825885,2.2342269859382307,0.46648926206831376,0.028743750348848355,0.676843997380335,0.034263410132130176,-1.4377336525672622,0.09293302817951683,0.04916539024272232,0.03507324585892834,0.9508346097572776,0.03507324585892834,20.98778960359463,4.289302778192988,1.0,0.0,1.0,-21.15368884453332,10.216020243276173,0.590729135505432,0.05398052594500356,60.4,19.355619339096332,0.5668741367998218,0.040075695815364486,60.4,19.355619339096332,60.4,19.355619339096332,21.15368884453332,-85.46691434397354,23.42735350649325,10.216020243276173
obs_noise_x3,PianoMPC,severe_left_weak,10,36.22081361103564,4.924162327314074,0.004108083715512915,0.0036886319782671647,19.0166582778174,1.0615077574838008,0.44015059032486575,0.023009318189659324,0.6548036606019433,0.04760620742871964,-1.4558371080106678,0.1129383244506874,0.06948162711882236,0.04653200380781492,0.9305183728811777,0.04653200380781493,25.328678026249335,8.195031666559657,1.0,0.0,1.0,-27.306009856055557,10.826130002448194,0.667450897981962,0.0893375175944287,60.4,26.639069052802878,0.6023306988229482,0.08004615149452883,60.4,26.639069052802878,60.4,26.639069052802878,27.306009856055557,-85.39986243941807,31.02893988078526,10.826130002448194
obs_noise_x3,BayesianMAB,balanced,10,28.4154128433246,1.830146907652513,0.004469887012684382,0.002997993825746251,20.007100402119537,1.9166921912912696,0.5174432067327626,0.03158055088073072,0.5936686795712651,0.017837245818719923,-1.4782163040056469,0.06495485243007214,0.07646720734906094,0.04170964233821255,0.9235327926509391,0.04170964233821254,28.001683745638626,5.725478491167175,1.0,0.0,1.0,-28.829140427036304,9.636626727504028,0.686156581332358,0.04841285838829182,51.5,9.394147114027968,0.7127030266445221,0.036589856790588786,51.5,9.394147114027968,51.5,9.394147114027968,28.829140427036304,-76.2170630098463,14.969062384632624,9.636626727504028
obs_noise_x3,BayesianMAB,mild_left_weak,10,26.34370196171303,7.6453378535284875,0.00696898660319442,0.003198040507994421,20.651568925906282,1.7491538224037075,0.4828984934576047,0.02824408764674069,0.6079302629341737,0.04816418099659669,-1.449399686057626,0.16228605296246548,0.10816561345064993,0.04382904936006569,0.8918343865493501,0.04382904936006568,26.976658944673336,6.414126128445429,1.0,0.0,1.0,-38.61912842414113,20.011072704903604,0.7776968864712246,0.08671743956577571,88.5,46.5966737010272,0.7553756265964912,0.05645615318509713,88.5,46.5966737010272,88.5,46.5966737010272,38.61912842414113,-121.51192757950415,52.01415791994263,20.011072704903604
obs_noise_x3,BayesianMAB,severe_left_weak,10,29.24810992475843,8.848623983377403,0.004997718410199149,0.0029966998799552174,20.44022228007752,1.7131292017094712,0.43700906934471406,0.020197825487362653,0.5744870382727122,0.053474292007493415,-1.5213585212713434,0.1824350984876639,0.09498499413721952,0.034879397829354473,0.9050150058627805,0.034879397829354473,28.252634370164856,4.527632019748728,1.0,0.0,1.0,-25.764180811472404,8.449765132074004,0.7715147531947398,0.13901939091932952,51.9,19.58800653461194,0.7793695799804141,0.06343995135849281,51.9,19.58800653461194,51.9,19.58800653461194,25.764180811472404,-76.52330705824605,23.162887662777663,8.449765132074004
obs_noise_x3,CCB-DF,balanced,10,27.94292418124443,4.828182367358539,0.005605351062579313,0.0035382935435545413,20.024595723615214,1.6702085668493587,0.5165617618515184,0.03026664565050693,0.5543208538767697,0.05009499752806997,-1.535447475171361,0.12134725709476331,0.08331376952386801,0.032334718616303784,0.9166862304761321,0.03233471861630377,27.951615599013525,5.41788761795077,1.0,0.0,1.0,-40.79797979140512,19.701992930173436,0.6958051585081092,0.08080511661867858,71.7,31.78065449294586,0.7051306919870878,0.044939528098849664,71.7,31.78065449294586,71.7,31.78065449294586,40.79797979140512,-106.82038066160422,37.24151846558197,19.701992930173436
obs_noise_x3,CCB-DF,mild_left_weak,10,26.953190957325866,3.9511877278647796,0.004792389940428002,0.003067171189684089,19.25229171790711,1.6206433415545085,0.4513436434116412,0.02881109943728529,0.5664035713160432,0.04132274752811258,-1.4935806793544768,0.0937002976637614,0.07594188118793435,0.030933518459533793,0.9240581188120656,0.030933518459533803,27.773804082034495,3.835959284786264,1.0,0.0,1.0,-47.949792800295576,13.984796177936,0.8008926059172443,0.06863667925245287,79.4,18.48891559827131,0.7660317120847371,0.037166944748343436,79.4,18.48891559827131,79.4,18.48891559827131,47.949792800295576,-117.17487221605374,21.683183603450303,13.984796177936
obs_noise_x3,CCB-DF,severe_left_weak,10,31.837580316709165,4.026299340028213,0.0032811124878513523,0.0018917650854512204,20.103835321609214,2.116141126970978,0.40213143032049936,0.017140954108752878,0.5350541789717063,0.05178796966665696,-1.6136000037513405,0.09781856614340043,0.06538611319692175,0.022777419040187163,0.9346138868030781,0.022777419040187177,27.6481306697405,5.724367215957496,1.0,0.0,1.0,-42.695993982550824,12.80052319493514,0.8258638382032638,0.08076014861236315,68.8,13.548431643551957,0.7752702841396707,0.06969919173639534,68.8,13.548431643551957,68.8,13.548431643551957,42.695993982550824,-109.93264576202674,17.53219539588646,12.80052319493514
obs_noise_x3,LinUCB,balanced,10,28.05187918848825,5.978905791555105,0.0036261537282516764,0.002656041520819322,19.314881305156714,1.5449751969142698,0.5181165146788347,0.024532149175648964,0.5702107516590769,0.04921344132708263,-1.492272769237462,0.140990782081829,0.06328187528390017,0.03274991868557803,0.9367181247160999,0.032749918685578035,26.32939630739113,6.443770840728136,1.0,0.0,1.0,-36.37307577173968,13.59508200266521,0.6988307261293524,0.08561272651777638,71.5,29.608275870100915,0.7032223806999608,0.047092126736941076,71.5,29.608275870100915,71.5,29.608275870100915,36.37307577173968,-103.32322847530308,33.80092409355333,13.59508200266521
