scenario,agent,num_runs,guard_delta,safety_margin,avg_constraint_violation_mean,avg_constraint_violation_std,avg_fatigue_mean,avg_fatigue_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,guard_replacement_rate_mean,guard_replacement_rate_std,proposed_step_cap_violation_rate_mean,proposed_step_cap_violation_rate_std,time_to_mastery_mean,time_to_mastery_std
shared_default,PianoMPC,5,0.08,0.05,0.002135997314967998,0.0030401568008375617,0.49350106136034233,0.03050208743925986,0.07417341124963629,0.0786979418557288,0.9258265887503637,0.07869794185572884,0.0,0.0,0.17693499959183567,0.04878175070695844,28.53333333333333,4.2254688371995295
shared_default,BayesianMAB,5,0.08,0.05,0.0037082714708149126,0.005357801915725659,0.43505581479184513,0.12451499078772872,0.06345039126633623,0.06308710118919826,0.9365496087336638,0.0630871011891982,0.15843258525181322,0.04294880918459637,0.2590580859037712,0.06513323748794184,34.46666666666667,8.37759867398886
shared_default,CCB-DF,5,0.08,0.05,0.002231625300426821,0.0022836281519689823,0.47677264135100134,0.08542770943293682,0.05665987075351917,0.05885728781663059,0.9433401292464808,0.05885728781663078,0.2902137266538621,0.007942675634054734,0.36041426706441665,0.06451109609170204,49.46666666666666,31.458770557504554
shared_default,LinUCB,5,0.08,0.05,0.0006314679675312289,0.0005085625073937502,0.5119707006876751,0.10386109329260722,0.024797831812111554,0.009855825502492076,0.9752021681878884,0.00985582550249208,0.0,0.0,0.0,0.0,42.266666666666666,10.137392349326161
shared_default,Thompson,5,0.08,0.05,0.005510792903117762,0.0019689834864339397,0.49299708056387037,0.06593978623016675,0.09862720500418683,0.04049372565145812,0.9013727949958131,0.0404937256514583,0.24088403815425316,0.022741096318121982,0.38073454163764725,0.047567343835030314,45.866666666666674,17.083451948511364
shared_default,Safe-AC,5,0.08,0.05,0.0036829420493239926,0.0033917336671172747,0.4638949360558054,0.12413568380096522,0.07584027636483581,0.06103178081460759,0.9241597236351642,0.061031780814607674,0.19026631129103658,0.03165650666940138,0.30100535909875725,0.06451742841387079,44.53333333333333,11.22361165963686
strict_margin_008,PianoMPC,5,0.08,0.08,0.002055689646876777,0.0013527775737580076,0.4797574367956681,0.035815950045143735,0.07094327623320572,0.01423044802386893,0.9290567237667943,0.014230448023868905,0.018590662660091364,0.022555085872773394,0.26406984353990054,0.1071486201618612,27.133333333333336,4.0158092143830695
strict_margin_008,BayesianMAB,5,0.08,0.08,0.004690816785561346,0.0027565468608815175,0.43963459063310745,0.2301680779227548,0.09816015127680773,0.07486087831628313,0.9018398487231923,0.07486087831628302,0.15079327565812778,0.058922003804496824,0.33736322279838477,0.19172040478534808,32.6,11.098286615911167
strict_margin_008,CCB-DF,5,0.08,0.08,0.004456046477489983,0.0028703021138922276,0.47015223585886073,0.10511383206082325,0.08420027851142402,0.037874663656559344,0.9157997214885759,0.0378746636565595,0.2916367316947812,0.008324021260516505,0.4328495679192274,0.05310460273297605,45.20000000000001,27.01207074242701
strict_margin_008,LinUCB,5,0.08,0.08,0.0001821337845022066,0.00018660510983168114,0.44845448542995797,0.08349676976910543,0.010972922683449,0.0036977432549117413,0.989027077316551,0.0036977432549117465,0.14719373108748798,0.0575773781740085,0.20779039505389832,0.04036757074705131,43.800000000000004,4.7394326898549295
