scenario,mastery_window,agent,num_runs,guard_delta,safety_margin,time_to_mastery_mean,time_to_mastery_std,feasible_rate_mean,feasible_rate_std
window_strict_guard,1,PianoMPC,10,0.08,0.08,15.7,3.1989581637360205,0.9392971021066996,0.0510869739374725
window_strict_guard,1,BayesianMAB,10,0.08,0.08,17.6,5.4609726443393045,0.946060606060606,0.07139349350755105
window_strict_guard,1,CCB-DF,10,0.08,0.08,22.4,3.134042472944842,0.9168879967976473,0.055738637982786304
window_strict_guard,2,PianoMPC,10,0.08,0.08,20.0,2.211083193570267,0.9185302972516931,0.04854720953338936
window_strict_guard,2,BayesianMAB,10,0.08,0.08,20.9,4.794672969962487,0.9139897297591805,0.06291067803765094
window_strict_guard,2,CCB-DF,10,0.08,0.08,33.3,7.888810641239485,0.923838730258872,0.048455716480740825
window_strict_guard,3,PianoMPC,10,0.08,0.08,23.3,3.802046232695699,0.9257356170399648,0.04160912875572428
window_strict_guard,3,BayesianMAB,10,0.08,0.08,33.0,10.392304845413264,0.88854024159298,0.06928634082360959
window_strict_guard,3,CCB-DF,10,0.08,0.08,37.0,8.12403840463596,0.8918217858550548,0.049232022220740364
window_strict_guard,4,PianoMPC,10,0.08,0.08,27.3,8.420213774008355,0.9488527518030624,0.048594282185833365
window_strict_guard,4,BayesianMAB,10,0.08,0.08,37.8,7.728734264634367,0.9275236579790933,0.06213430535305291
window_strict_guard,4,CCB-DF,10,0.08,0.08,58.7,14.189589297948142,0.9239179942456405,0.02673463127185851
window_strict_guard,5,PianoMPC,10,0.08,0.08,39.1,10.6921570425346,0.9156473032956299,0.03767317862268938
window_strict_guard,5,BayesianMAB,10,0.08,0.08,42.8,19.797867449691534,0.9262057235808598,0.054143614197149324
window_strict_guard,5,CCB-DF,10,0.08,0.08,81.0,25.161699289020824,0.9129771519229882,0.026061497972896044
window_strict_guard,6,PianoMPC,10,0.08,0.08,79.3,43.07112979969555,0.9130962358369974,0.042973651957891525
window_strict_guard,6,BayesianMAB,10,0.08,0.08,117.8,56.61919580260155,0.8926453788007785,0.0390549371835702
window_strict_guard,6,CCB-DF,10,0.08,0.08,127.5,75.96526984235771,0.8906696127128507,0.02678503042115289
window_strict_guard,7,PianoMPC,10,0.08,0.08,223.8,87.84557156991151,0.878539020028969,0.022369423071684547
window_strict_guard,7,BayesianMAB,10,0.08,0.08,206.8,126.71209711608263,0.8811117408518404,0.017330857107476227
window_strict_guard,7,CCB-DF,10,0.08,0.08,216.8,95.30745569529758,0.9127426092259883,0.03317744480616281
