agent,profile,seed,W,Hg,delta_guard,step,is_valid_step,action_id,proposed_action_id,env_guard_pass,env_guard_replaced,env_guard_reason,reward,mastery_flag,f_t,window_max,predicted_peak,actual_peak,window_threshold,peak_threshold,agent_guard_pass,std_guard_pass,lambda_t,will_block,violation_window_flag,violation_peak_flag
pianoMPC,severe_left_weak,1174974814,5,5,0.05,0,False,18,18,True,False,safe,0.0,0,0.134,0.134,,0.188,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,1,False,18,18,True,False,relaxed,-5.0,0,0.188,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,2,False,24,24,True,False,safe,2.2027906255502407,0,0.0,0.188,,0.216,0.2,0.25,True,True,,False,0,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,3,False,18,18,True,False,safe,-1.0123651102889586,0,0.054,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,4,True,18,18,True,False,safe,-0.11059628768405502,0,0.108,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,5,True,18,18,True,False,relaxed,-0.21852708242355315,0,0.162,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,6,True,18,18,True,False,relaxed,2.8285572459379242,0,0.216,0.216,,0.216,0.2,0.25,False,True,,False,1,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,7,True,24,24,True,False,safe,1.7957118031715835,0,0.0,0.216,,0.216,0.2,0.25,True,True,,False,1,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,8,True,18,18,True,False,safe,2.3578299128877753,0,0.054,0.216,,0.216,0.2,0.25,False,True,,False,1,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,9,True,18,18,True,False,safe,-0.481957624437932,0,0.108,0.216,,0.216,0.2,0.25,False,True,,False,1,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,10,True,18,18,True,False,relaxed,1.9070882441707455,0,0.162,0.216,,0.216,0.2,0.25,False,True,,False,1,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,11,True,18,18,True,False,relaxed,0.19042156522519912,0,0.216,0.216,,0.216,0.2,0.25,False,True,,False,1,0
pianoMPC,severe_left_weak,1174974814,5,5,0.05,12,True,24,24,True,False,safe,-0.1584267594820206,0,0.0,0.216,,0.216,0.2,0.25,True,True,,False,1,0
