agent,profile,seed,W,Hg,delta_guard,step,is_valid_step,action_id,proposed_action_id,env_guard_pass,env_guard_replaced,env_guard_reason,reward,mastery_flag,f_t,window_max,predicted_peak,actual_peak,window_threshold,peak_threshold,agent_guard_pass,std_guard_pass,lambda_t,will_block,violation_window_flag,violation_peak_flag
pianoMPC,severe_left_weak,1529283149,5,5,0.0,0,False,18,18,True,False,safe,0.0,0,0.134,0.134,,0.216,0.2,0.2,False,False,,False,0,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,1,False,24,24,True,False,safe,5.0,0,0.0,0.134,,0.216,0.2,0.2,True,False,,False,0,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,2,False,18,18,True,False,safe,0.555778920265985,0,0.054,0.134,,0.216,0.2,0.2,False,False,,False,0,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,3,False,18,18,True,False,safe,0.08080349886874484,0,0.108,0.134,,0.216,0.2,0.2,False,False,,False,0,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,4,True,18,18,True,False,safe,1.5977050317352437,0,0.162,0.162,,0.216,0.2,0.2,False,False,,False,0,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,5,True,18,18,True,False,relaxed,0.4253136767196334,0,0.216,0.216,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,6,True,24,18,False,True,rest_fallback,0.9449346386329307,0,0.0,0.216,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,7,True,18,18,True,False,safe,1.6702167299833426,0,0.054,0.216,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,8,True,18,18,True,False,safe,2.2401943271238967,0,0.108,0.216,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,9,True,18,18,True,False,relaxed,1.2835168024218082,0,0.162,0.216,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,10,True,18,18,True,False,relaxed,1.2645803308663026,0,0.216,0.216,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,11,True,24,24,True,False,safe,-0.2532299415439886,0,0.0,0.216,,0.216,0.2,0.2,True,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,12,True,18,18,True,False,safe,1.1108811987101592,0,0.054,0.216,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,13,True,18,18,True,False,safe,0.1749958199365805,0,0.108,0.216,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,14,True,18,18,True,False,safe,2.618346544422611,0,0.162,0.216,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1529283149,5,5,0.0,15,True,18,18,True,False,relaxed,2.2016411347914495,0,0.216,0.216,,0.216,0.2,0.2,False,False,,False,1,1
