agent,profile,seed,W,Hg,delta_guard,step,is_valid_step,action_id,proposed_action_id,env_guard_pass,env_guard_replaced,env_guard_reason,reward,mastery_flag,f_t,window_max,predicted_peak,actual_peak,window_threshold,peak_threshold,agent_guard_pass,std_guard_pass,lambda_t,will_block,violation_window_flag,violation_peak_flag
pianoMPC,severe_left_weak,1432075976,10,3,0.0,0,False,15,15,True,False,safe,0.0,0,0.14,0.14,,0.194,0.2,0.2,True,True,,False,0,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,1,False,18,18,True,False,relaxed,5.0,0,0.194,0.194,,0.194,0.2,0.2,False,True,,False,0,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,2,False,24,24,True,False,safe,1.5783374599334972,0,0.0,0.194,,0.16799999999999998,0.2,0.2,True,True,,False,0,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,3,False,18,18,True,False,safe,-0.19494206416867288,0,0.054,0.194,,0.22199999999999998,0.2,0.2,True,False,,False,0,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,4,False,15,15,True,False,safe,0.16455480157190985,0,0.11399999999999999,0.194,,0.22199999999999998,0.2,0.2,True,False,,False,0,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,5,False,18,18,True,False,relaxed,0.14013617822663685,0,0.16799999999999998,0.194,,0.22199999999999998,0.2,0.2,False,False,,False,0,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,6,False,18,18,True,False,relaxed,-0.32250887555349306,0,0.22199999999999998,0.22199999999999998,,0.22199999999999998,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,7,False,24,24,True,False,safe,2.084291367699748,0,0.0,0.22199999999999998,,0.162,0.2,0.2,True,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,8,False,18,18,True,False,safe,1.0125312931784074,0,0.054,0.22199999999999998,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,9,True,18,18,True,False,safe,1.0132392182752996,0,0.108,0.22199999999999998,,0.216,0.2,0.2,True,False,,False,1,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,10,True,18,18,True,False,safe,1.0575077678483507,0,0.162,0.22199999999999998,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,11,True,18,18,True,False,relaxed,0.9068531117466209,0,0.216,0.22199999999999998,,0.216,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,12,True,24,24,True,False,safe,0.3635782497939938,0,0.0,0.22199999999999998,,0.16799999999999998,0.2,0.2,True,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,13,True,15,15,True,False,safe,2.0336816650921867,0,0.06,0.22199999999999998,,0.16799999999999998,0.2,0.2,True,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,14,True,18,18,True,False,safe,0.5005978027880196,0,0.11399999999999999,0.22199999999999998,,0.16799999999999998,0.2,0.2,False,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,15,True,18,18,True,False,relaxed,1.5525382980447808,0,0.16799999999999998,0.22199999999999998,,0.16799999999999998,0.2,0.2,False,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,16,True,24,24,True,False,safe,0.2687356591297504,0,0.0,0.216,,0.174,0.2,0.2,True,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,17,True,15,15,True,False,safe,0.5521058101899081,0,0.06,0.216,,0.174,0.2,0.2,True,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,18,True,15,15,True,False,safe,1.0753139447068074,0,0.12,0.216,,0.174,0.2,0.2,True,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,19,True,18,18,True,False,safe,1.9619601856715603,0,0.174,0.216,,0.174,0.2,0.2,False,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,20,True,24,24,True,False,safe,0.495916928245619,0,0.0,0.216,,0.16799999999999998,0.2,0.2,True,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,21,True,15,15,True,False,safe,2.1273512503675973,0,0.06,0.174,,0.16799999999999998,0.2,0.2,True,True,,False,0,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,22,True,18,18,True,False,relaxed,1.341027105246846,0,0.11399999999999999,0.174,,0.188,0.2,0.2,False,True,,False,0,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,23,True,18,18,True,False,safe,1.6758353456869306,1,0.16799999999999998,0.174,,0.188,0.2,0.2,False,True,,False,0,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,24,True,18,18,True,False,relaxed,0.0,0,0.134,0.174,,0.188,0.2,0.2,False,True,,False,0,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,25,True,18,18,True,False,safe,-5.0,0,0.188,0.188,,0.188,0.2,0.2,False,True,,False,0,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,26,True,24,18,False,True,rest_fallback,5.0,0,0.0,0.188,,0.16799999999999998,0.2,0.2,False,True,,False,0,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,27,True,15,15,True,False,safe,0.010566178533132279,0,0.06,0.188,,0.22199999999999998,0.2,0.2,True,False,,False,0,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,28,True,18,18,True,False,safe,1.2718718158794602,0,0.11399999999999999,0.188,,0.22199999999999998,0.2,0.2,False,False,,False,0,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,29,True,18,18,True,False,safe,1.2504605314912691,0,0.16799999999999998,0.188,,0.22199999999999998,0.2,0.2,False,False,,False,0,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,30,True,18,18,True,False,relaxed,-0.3093060163664414,0,0.22199999999999998,0.22199999999999998,,0.22199999999999998,0.2,0.2,False,False,,False,1,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,31,True,24,24,True,False,safe,0.8022961044282125,0,0.0,0.22199999999999998,,0.16799999999999998,0.2,0.2,True,True,,False,1,0
pianoMPC,severe_left_weak,1432075976,10,3,0.0,32,True,15,15,True,False,safe,0.7226793439145872,0,0.06,0.22199999999999998,,0.22199999999999998,0.2,0.2,True,False,,False,1,1
pianoMPC,severe_left_weak,1432075976,10,3,0.0,33,True,18,18,True,False,safe,1.473123482336519,0,0.11399999999999999,0.22199999999999998,,0.22199999999999998,0.2,0.2,False,False,,False,1,1
