agent,profile,seed,W,Hg,delta_guard,step,is_valid_step,action_id,proposed_action_id,env_guard_pass,env_guard_replaced,env_guard_reason,reward,mastery_flag,f_t,window_max,predicted_peak,actual_peak,window_threshold,peak_threshold,agent_guard_pass,std_guard_pass,lambda_t,will_block,violation_window_flag,violation_peak_flag
pianoMPC,severe_left_weak,1138547421,10,7,0.05,0,False,18,18,True,False,safe,0.0,0,0.134,0.134,,0.188,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,1,False,18,18,True,False,relaxed,-5.0,0,0.188,0.188,,0.188,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,2,False,24,24,True,False,safe,5.0,0,0.0,0.188,,0.162,0.2,0.25,True,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,3,False,18,18,True,False,safe,0.6895448235838253,0,0.054,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,4,False,18,18,True,False,safe,1.0961210036436746,0,0.108,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,5,False,18,18,True,False,relaxed,1.8722848621437154,0,0.162,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,6,False,24,24,True,False,safe,0.8886648921189096,0,0.0,0.188,,0.216,0.2,0.25,True,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,7,False,18,18,True,False,safe,0.5070464371577036,0,0.054,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,8,False,18,18,True,False,safe,1.16277919891964,0,0.108,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,9,True,18,18,True,False,relaxed,1.6814517132440667,0,0.162,0.188,,0.216,0.2,0.25,False,True,,False,0,0
pianoMPC,severe_left_weak,1138547421,10,7,0.05,10,True,18,18,True,False,relaxed,0.8055701514897178,0,0.216,0.216,,0.216,0.2,0.25,False,True,,False,1,0
