agent,profile,seed,W,Hg,delta_guard,step,is_valid_step,action_id,proposed_action_id,env_guard_pass,env_guard_replaced,env_guard_reason,reward,mastery_flag,f_t,window_max,predicted_peak,actual_peak,window_threshold,peak_threshold,agent_guard_pass,std_guard_pass,lambda_t,will_block,violation_window_flag,violation_peak_flag
pianoMPC,mild_left_weak,4099386743,5,5,0.0,0,False,18,18,True,False,safe,0.0,0,0.10400000000000001,0.10400000000000001,,0.212,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,1,False,18,18,True,False,safe,5.0,0,0.158,0.158,,0.212,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,2,False,18,18,True,False,safe,-1.4561877913692136,0,0.212,0.212,,0.212,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,3,False,24,24,True,False,safe,1.7479380277341556,0,0.0,0.212,,0.162,0.22,0.22,True,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,4,True,18,18,True,False,safe,0.46587078495541623,0,0.054,0.212,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,5,True,18,18,True,False,safe,2.089884838073629,0,0.108,0.212,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,6,True,18,18,True,False,safe,0.6855186890079311,0,0.162,0.212,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,7,True,24,24,True,False,safe,-0.054627250295239994,0,0.0,0.162,,0.216,0.22,0.22,True,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,8,True,18,18,True,False,safe,-0.18414540662089207,0,0.054,0.162,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,9,True,18,18,True,False,safe,3.274726432732744,0,0.108,0.162,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,10,True,18,18,True,False,relaxed,0.4740366448698598,0,0.162,0.162,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,11,True,18,18,True,False,relaxed,0.36826957973540075,0,0.216,0.216,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,12,True,24,24,True,False,safe,-0.1755983212836189,0,0.0,0.216,,0.162,0.22,0.22,True,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,13,True,18,18,True,False,safe,1.6128881807257593,0,0.054,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,14,True,18,18,True,False,safe,2.476026158901418,0,0.108,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,15,True,18,18,True,False,safe,0.9174427478558023,1,0.162,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,16,True,18,18,True,False,safe,0.0,0,0.10400000000000001,0.162,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,17,True,18,18,True,False,safe,-5.0,0,0.158,0.162,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,18,True,24,24,True,False,safe,-5.0,0,0.0,0.162,,0.216,0.22,0.22,True,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,19,True,18,18,True,False,safe,2.2942317161319603,0,0.054,0.162,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,20,True,18,18,True,False,safe,1.0768236243113554,0,0.108,0.158,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,21,True,18,18,True,False,safe,0.9522780365660423,0,0.162,0.162,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,22,True,18,18,True,False,relaxed,1.9404797016510866,0,0.216,0.216,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,23,True,24,18,False,True,rest_fallback,-0.22095858329247903,0,0.0,0.216,,0.108,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,24,True,18,18,True,False,safe,3.521117835116809,0,0.054,0.216,,0.162,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,25,True,18,18,True,False,safe,2.6848487912491543,0,0.108,0.216,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,26,True,24,18,False,True,rest_fallback,-0.7819866718388079,0,0.0,0.216,,0.216,0.22,0.22,False,True,,False,0,0
pianoMPC,mild_left_weak,4099386743,5,5,0.0,27,True,18,18,True,False,safe,0.3212505148107251,0,0.054,0.108,,0.216,0.22,0.22,False,True,,False,0,0
