scenario,scenario_description,agent,profile,num_runs,avg_async_mean,avg_async_std,avg_constraint_violation_mean,avg_constraint_violation_std,avg_dom_gap_mean,avg_dom_gap_std,avg_fatigue_mean,avg_fatigue_std,avg_fid_mean,avg_fid_std,avg_reward_raw_mean,avg_reward_raw_std,fatigue_overload_rate_mean,fatigue_overload_rate_std,feasible_rate_mean,feasible_rate_std,independence_gain_mean,independence_gain_std,mastered_mean,mastered_std,mastery_rate,regret_mean,regret_std,retention_delta_mean,retention_delta_std,sample_efficiency_mean,sample_efficiency_std,skill_improvement_mean,skill_improvement_std,steps_mean,steps_std,time_to_mastery_mean,time_to_mastery_std,total_reward_mean,total_reward_raw_mean,total_reward_raw_std,total_reward_std
nominal,Unperturbed PianoGym environment.,PianoMPC,balanced,10,39.95933057481321,1.809801885897399,0.0018287531309270709,0.0014947687230034824,6.93720378544063,1.2441009846512816,0.49801220917710703,0.03345092958064194,0.6189699676379734,0.016844818397271363,-1.2165520805722259,0.05410194735731002,0.07530529052268183,0.04597963658647915,0.9246947094773181,0.045979636586479154,20.11822976870477,4.095634868239067,1.0,0.0,1.0,-19.475841226314863,4.387904560990457,0.3609418496163649,0.048079846485337516,23.2,3.059411708155671,0.46840922994856954,0.03374739616542583,23.2,3.059411708155671,23.2,3.059411708155671,19.475841226314863,-28.302445035352985,4.305249668137756,4.387904560990457
nominal,Unperturbed PianoGym environment.,PianoMPC,mild_left_weak,10,41.053070709621636,2.5067871557571455,0.002500075363233285,0.0011706815815268432,8.74629563696829,1.2595876607091572,0.4886873586063061,0.015227354267304132,0.5902282191158656,0.02777114332772349,-1.3246878645633915,0.06870214517708605,0.08140044166359957,0.04496434907456756,0.9185995583364004,0.04496434907456757,22.24197563335897,4.218887010103516,1.0,0.0,1.0,-17.675087290379658,7.735631939177514,0.3888585874265461,0.04387062485464646,22.2,3.124099870362662,0.4916118615597065,0.02454627296846553,22.2,3.124099870362662,22.2,3.124099870362662,17.675087290379658,-29.314119296848354,3.591883739021627,7.735631939177514
nominal,Unperturbed PianoGym environment.,PianoMPC,severe_left_weak,10,39.66888029012633,2.550639204149919,0.0030787621202327292,0.001901824305178314,9.032900881134022,1.613408865400547,0.481401207713855,0.013559083560885647,0.5819485059293626,0.019160538412152123,-1.3371012826509827,0.060450418717905186,0.10179497953027365,0.047486791674837006,0.8982050204697263,0.04748679167483701,21.437218069158977,3.892994986887412,1.0,0.0,1.0,-27.671797572410952,5.233853774025926,0.5079325163161329,0.05954592561941995,27.8,4.853864439804639,0.5592898629697831,0.030402102109733282,27.8,4.853864439804639,27.8,4.853864439804639,27.671797572410952,-37.01446812997483,5.882704722376437,5.233853774025926
nominal,Unperturbed PianoGym environment.,BayesianMAB,balanced,10,31.511677238262145,4.395344599567495,0.0033918947660408114,0.004045022697412757,8.708609968274772,1.1749611790622807,0.4749919738388725,0.08726261870369262,0.559594183242806,0.03451274823489856,-1.2629564408945309,0.10307798646118871,0.06654204157348173,0.04714736575790527,0.9334579584265184,0.04714736575790527,26.569381193925455,3.805036268552438,1.0,0.0,1.0,-23.256213433637363,9.822540137890698,0.4896557448847984,0.11569700079210184,31.1,8.960468737739115,0.6004788815587387,0.07569892269912545,31.1,8.960468737739115,31.1,8.960468737739115,23.256213433637363,-38.51491337158305,8.706241962489404,9.822540137890698
nominal,Unperturbed PianoGym environment.,BayesianMAB,mild_left_weak,10,30.349301740030068,5.515460779007869,0.006110008132124986,0.0044222343010922914,8.233644022216001,1.3297287547842105,0.4541688795857078,0.054884574705329925,0.5403193952722979,0.04122617257653394,-1.2727000422804207,0.11139605275895381,0.09548808706058154,0.059728481818287896,0.9045119129394183,0.059728481818287917,28.159673478112733,3.8288262345940707,1.0,0.0,1.0,-28.909269228970157,15.531878894282274,0.6004163317776423,0.13345281766230657,38.1,10.492378186092989,0.6670502531439344,0.09409583913175733,38.1,10.492378186092989,38.1,10.492378186092989,28.909269228970157,-47.51565985814769,9.952185719515104,15.531878894282274
nominal,Unperturbed PianoGym environment.,BayesianMAB,severe_left_weak,10,32.77375130618009,4.225471686880476,0.0034509661775655428,0.0025374370183673836,9.27672435053222,1.1112009252928976,0.40348796297123257,0.06988082724707534,0.5176178295802133,0.04955837672176072,-1.3676240820659924,0.10004288401565956,0.08187021114575159,0.046190355050874564,0.9181297888542485,0.046190355050874564,25.638650884351666,4.326243841128747,1.0,0.0,1.0,-31.062977900256005,8.975138330722109,0.6264722915222333,0.0911124317011088,38.1,6.187891401761993,0.6707121284028763,0.05427522964870726,38.1,6.187891401761993,38.1,6.187891401761993,31.062977900256005,-51.733397455283374,7.0517540633162135,8.975138330722109
nominal,Unperturbed PianoGym environment.,CCB-DF,balanced,10,29.164688474585297,3.3315728400397773,0.002899391962831393,0.0018748799972679675,7.629713327470253,0.9958661677270506,0.5267818324836094,0.020900059134035056,0.5160300572019831,0.024592053789071366,-1.288205870854696,0.08320254839618141,0.05729319425471362,0.025741168389707917,0.9427068057452864,0.025741168389707907,29.586754396258907,2.92705370953785,1.0,0.0,1.0,-47.23406879437144,13.65475957110583,0.6602323634769234,0.0791590879698614,48.2,7.19444229944198,0.7013775193533819,0.052575419297268416,48.2,7.19444229944198,48.2,7.19444229944198,47.23406879437144,-61.67289571206659,7.247223372078901,13.65475957110583
nominal,Unperturbed PianoGym environment.,CCB-DF,mild_left_weak,10,29.45434818855179,6.496497131196133,0.003623481449265493,0.0027960915872815404,8.826459744103834,1.2914438374246935,0.4833672419322518,0.024340466876662088,0.5069033117700926,0.04943119086026081,-1.3385121498657837,0.16303059087979507,0.0761460624306426,0.04710656341668352,0.9238539375693573,0.04710656341668351,28.384984936806454,6.343838278554358,1.0,0.0,1.0,-43.96092960559713,17.02808643319355,0.678394282799518,0.14277056165827895,49.3,14.248157775656471,0.7006790129365597,0.09116338940943794,49.3,14.248157775656471,49.3,14.248157775656471,43.96092960559713,-63.8521970689546,11.738922546249752,17.02808643319355
nominal,Unperturbed PianoGym environment.,CCB-DF,severe_left_weak,10,30.928357504193503,5.445999766054896,0.00382701693125116,0.0028652422928018917,9.020867103624662,0.9386952815313608,0.4314526940576413,0.029090328950262253,0.5037906631645019,0.04239170819804187,-1.3688174770260364,0.1265029862421633,0.058876904231109674,0.03762370266435174,0.9411230957688902,0.03762370266435175,27.963995196460036,5.292593813470508,1.0,0.0,1.0,-44.86961972957867,16.41093768304622,0.7516806992675076,0.1063739956304279,51.7,11.296459622377268,0.7359385965101087,0.06442940381400274,51.7,11.296459622377268,51.7,11.296459622377268,44.86961972957867,-69.4145772189235,9.282642762790745,16.41093768304622
nominal,Unperturbed PianoGym environment.,LinUCB,balanced,10,26.675755969853945,4.252205170810782,0.0008750806396735092,0.0009898514064033484,7.551096199343,0.9025297340310007,0.5581748588794683,0.015268342395788408,0.5371722096358468,0.030454068362782645,-1.2199684315130082,0.08162176972351409,0.039328978874454794,0.03671455962588347,0.9606710211255451,0.036714559625883464,28.911013744971136,2.4354325297199635,1.0,0.0,1.0,-46.33758034965628,9.48474427884533,0.6576415360199617,0.07061302847040907,47.2,8.738420909981391,0.696808195565225,0.03917514596052891,47.2,8.738420909981391,47.2,8.738420909981391,46.33758034965628,-57.010755663763256,7.981097901883808,9.48474427884533
